time,total,idle,mem_total,mem_free,2390/cpu,2390/rss,2453/cpu,2453/rss,2470/cpu,2470/rss,2484/cpu,2484/rss,2526/cpu,2526/rss,2527/cpu,2527/rss
1007.16,891853,837033,3887864,1779108,3755,109936,8901,124896,22685,377464,68,79636,1168,64108,4980,124756
2009.85,892254,837421,3887864,1772836,3755,109936,8902,124896,22688,377464,68,79636,1168,64108,4980,124756
3011.5,892652,837806,3887864,1776944,3755,109936,8903,124896,22690,377464,68,79636,1168,64108,4982,124756
4013.05,893045,838186,3887864,1776944,3755,109936,8907,124896,22699,377464,68,79636,1168,64108,4983,124756
5014.6,893442,838569,3887864,1776944,3756,109936,8913,124904,22707,377464,68,79636,1169,64108,4985,124756
6018.04,893839,838958,3887864,1776944,3757,109936,8914,124904,22710,377464,68,79636,1169,64108,4986,124756
7021.55,894235,839348,3887864,1776960,3757,109936,8915,124904,22714,377464,68,79636,1170,64108,4988,124756
8023.21,894634,839661,3887864,1771852,3758,109936,8917,124904,22793,384032,68,79636,1170,64108,4990,124756
9024.87,895032,840051,3887864,1772068,3758,109936,8918,124904,22795,384044,68,79636,1170,64108,4996,124756
10027.42,895431,840433,3887864,1768816,3758,109936,8923,124904,22802,384080,68,79636,1170,64108,4998,124756
11029.21,895818,840650,3887864,1763500,3759,109936,8945,125796,22885,384376,68,79636,1172,64108,5007,124756
12034.68,896212,840994,3887864,1763236,3760,109936,8952,126136,22902,384384,68,79636,1172,64108,5009,124760
13038.06,896601,841257,3887864,1754856,3760,109936,8968,126344,22954,384416,68,79636,1173,64108,5013,124760
14039.75,896997,841619,3887864,1755256,3760,109936,8975,126344,22975,384424,68,79636,1174,64108,5017,124760
15041.33,897393,842005,3887864,1755648,3762,109936,8978,126344,22982,384424,68,79636,1174,64108,5018,124760
16042.96,897791,842385,3887864,1756896,3762,109936,8980,126344,22990,384432,68,79636,1175,64108,5020,124760
17044.51,898193,842782,3887864,1759096,3762,109936,8981,126344,22992,384432,68,79636,1175,64108,5021,124760
18048.56,898589,843169,3887864,1760728,3762,109936,8983,126344,22998,384432,68,79636,1175,64108,5023,124760
19052.73,898985,843554,3887864,1762212,3762,109936,8987,126344,23003,384440,68,79636,1175,64108,5025,124760
20056.2,899380,843922,3887864,1763664,3764,109936,8996,126344,23017,384456,68,79636,1176,64108,5027,124760
21059.41,899777,844312,3887864,1765896,3764,109936,8998,126344,23021,384456,68,79636,1176,64108,5029,124760
22061.09,900175,844648,3887864,1776580,3765,109936,9001,126344,23079,372400,68,79636,1176,64108,5032,124760
23062.78,900572,845028,3887864,1775720,3765,109936,9001,126344,23080,372400,68,79636,1176,64108,5032,124760
