time,total,idle,mem_total,mem_free,1821/cpu,1821/rss,3395/cpu,3395/rss,3416/cpu,3416/rss,3473/cpu,3473/rss,3503/cpu,3503/rss,3889/cpu,3889/rss,3972/cpu,3972/rss
1008.24,875824,833777,3887864,1964132,558,86796,263,63240,846,59164,1493,73204,2187,59892,547,71160,307,51108
2009.87,876224,834174,3887864,1964352,558,86796,263,63240,847,59164,1493,73204,2187,59892,547,71160,307,51108
3011.57,876624,834562,3887864,1965268,558,86796,263,63240,847,59164,1493,73204,2187,59892,548,71160,307,51108
4017.37,877021,834953,3887864,1965628,558,86796,263,63256,847,59164,1495,73204,2188,59892,548,71160,307,51108
5019.44,877420,835343,3887864,1965880,558,86796,263,63256,847,59164,1495,73204,2189,59892,548,71164,307,51108
6027.24,877816,835721,3887864,1966132,558,86796,263,63256,848,59164,1495,73204,2189,59892,548,71164,307,51108
7031.99,878217,836111,3887864,1966888,558,86796,263,63256,848,59164,1495,73204,2190,59892,548,71164,307,51108
8036.77,878610,836489,3887864,1966132,559,86796,264,63260,848,59164,1495,73204,2191,59892,548,71164,308,51108
9041.56,879004,836875,3887864,1966228,559,86796,264,63260,848,59164,1496,73204,2192,59892,548,71164,308,51108
10045.69,879402,837246,3887864,1966480,559,86796,264,63260,849,59164,1496,73204,2193,59892,548,71164,308,51108
11047.84,879794,837478,3887864,1961684,559,86796,264,63396,854,59180,1511,73204,2207,59896,549,71164,309,51108
12050.39,880182,837756,3887864,1938056,560,86796,265,63420,854,59180,1514,73204,2211,59988,549,71164,309,51108
13052.29,880566,838049,3887864,1942064,560,86796,266,63484,859,59184,1523,73212,2219,60200,553,71164,309,51108
14054.11,880961,838422,3887864,1941128,560,86796,266,63516,859,59184,1526,73220,2224,60200,555,71164,309,51108
15055.94,881360,838812,3887864,1941884,561,86796,266,63524,860,59184,1526,73220,2225,60200,555,71164,310,51108
16057.78,881756,839181,3887864,1944412,561,86796,266,63524,860,59184,1526,73220,2225,60200,555,71164,310,51108
17059.58,882154,839575,3887864,1945116,561,86796,266,63524,860,59184,1526,73220,2225,60200,555,71164,310,51108
18061.4,882550,839963,3887864,1946232,561,86796,267,63524,860,59184,1527,73220,2226,60200,555,71164,310,51108
19063.2,882949,840357,3887864,1947228,561,86796,267,63524,860,59184,1527,73220,2226,60200,555,71164,310,51108
20065.05,883346,840752,3887864,1948480,561,86796,267,63524,861,59184,1527,73220,2226,60200,555,71164,310,51108
21066.85,883742,841116,3887864,1950472,561,86796,267,63524,861,59184,1527,73220,2227,60200,555,71164,311,51108
22068.73,884140,841512,3887864,1950392,561,86796,267,63524,861,59184,1527,73220,2227,60200,556,71164,311,51108
23070.51,884534,841897,3887864,1950124,561,86796,267,63532,861,59184,1527,73220,2227,60200,556,71164,311,51108
24072.31,884924,842238,3887864,1945852,561,86796,268,63592,863,59184,1534,73224,2233,60204,559,71168,312,51108
