time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
1003.55,1240735,1220178,16370460,11550276,797,109808,2780,69596,4838,356016,349,63796,1903,125936,36,52096,111,69568,78,54000,159,54700,57,67232,34,47400
2009.25,1241335,1220770,16370460,11550276,797,109808,2782,69596,4841,356016,349,63796,1903,125936,36,52096,111,69568,78,54000,159,54700,58,67232,34,47400
3013.08,1241934,1221359,16370460,11550276,798,109808,2783,69852,4843,356016,349,63796,1904,125936,36,52096,112,69568,78,54000,159,54700,58,67232,34,47400
4017.03,1242534,1221953,16370460,11550276,798,109808,2785,69980,4846,356016,349,63796,1906,125936,36,52096,112,69568,78,54000,159,54700,58,67232,34,47400
5020.84,1243132,1222546,16370460,11550024,798,109808,2786,71644,4847,356016,349,63796,1906,125936,36,52096,112,69568,78,54000,159,54700,58,67232,34,47400
6025.51,1243730,1223137,16370460,11550024,798,109808,2788,71644,4850,356016,349,63796,1907,125936,36,52096,112,69568,78,54000,159,54700,58,67232,34,47400
7029.55,1244329,1223724,16370460,11550024,799,109808,2790,69704,4854,356016,350,63796,1908,125936,36,52096,112,69568,78,54000,160,54700,58,67232,34,47400
8033.36,1244926,1224306,16370460,11552544,799,109808,2793,69388,4858,356016,350,63796,1910,125936,36,52096,112,69568,78,54000,160,54700,58,67232,34,47400
9037.61,1245523,1224893,16370460,11552544,799,109808,2795,69388,4861,356016,350,63796,1911,125936,36,52096,112,69568,78,54000,160,54700,58,67232,34,47400
10041.09,1246123,1225482,16370460,11540700,799,109808,2796,69388,4863,356016,350,63796,1912,125936,36,52096,112,69568,78,54000,161,54700,58,67232,34,47400
11044.05,1246712,1225960,16370460,11522276,799,109808,2812,70848,4884,356272,351,63796,1914,125936,36,52096,116,69568,79,54000,164,54700,58,67232,36,47400
12048.71,1247308,1226492,16370460,11521576,800,109808,2820,70756,4906,356400,351,63796,1916,125936,36,52352,119,69568,81,54128,166,54700,60,67744,36,47400
13052.42,1247906,1227082,16370460,11521072,801,109808,2822,70756,4909,356400,351,63796,1917,125936,36,52352,119,69568,81,54128,166,54700,60,67744,36,47400
14056.95,1248507,1227673,16370460,11522748,801,109808,2824,70756,4912,356400,351,63796,1918,125936,36,52352,119,69568,81,54128,166,54700,60,67744,36,47400
15060.68,1249105,1228266,16370460,11523424,801,109808,2824,70884,4914,356400,352,63796,1918,125936,36,52352,119,69568,81,54128,166,54700,60,67744,36,47400
16064.49,1249703,1228856,16370460,11523424,801,109808,2825,70884,4916,356400,352,63796,1920,125936,36,52352,119,69568,81,54128,167,54700,60,67744,36,47400
17068.69,1250302,1229445,16370460,11523424,801,109808,2827,70884,4920,356400,352,63796,1921,125936,36,52352,119,69568,81,54128,168,54700,60,67744,36,47400
18073.32,1250899,1230028,16370460,11532040,801,109808,2831,71132,4923,356400,352,63796,1923,125936,36,52352,119,69568,82,54128,168,54700,60,67744,36,47400
19077.64,1251498,1230617,16370460,11531788,802,109808,2833,71132,4925,356400,352,63796,1923,125936,36,52352,119,69568,82,54128,168,54700,60,67744,36,47400
20081.32,1252095,1231206,16370460,11531044,802,109808,2834,71132,4927,356400,352,63796,1924,125936,36,52352,119,69568,82,54128,168,54700,60,67744,36,47400
21084.95,1252693,1231796,16370460,11531044,802,109808,2836,71132,4930,356400,352,63796,1925,125936,36,52352,119,69568,82,54128,168,54700,60,67744,36,47400
22089.7,1253292,1232386,16370460,11531044,802,109808,2837,71132,4933,356400,352,63796,1926,125936,36,52352,120,69568,82,54128,168,54700,60,67744,36,47400
