time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
1003.9,1730827,1701297,16370460,11506532,1009,109808,4539,68088,7523,372824,477,63924,2799,127344,77,56576,262,70720,171,55792,364,55360,132,68628,76,47656
2007.57,1731425,1701890,16370460,11506532,1010,109808,4540,68088,7525,372824,478,63924,2800,127344,77,56576,262,70720,171,55792,364,55360,132,68628,76,47656
3012.05,1732024,1702485,16370460,11506532,1010,109808,4541,68088,7527,372824,478,63924,2800,127344,77,56576,262,70720,171,55792,364,55360,132,68628,76,47656
4017.68,1732622,1703075,16370460,11506532,1010,109808,4542,68088,7529,372824,478,63924,2802,127344,77,56576,262,70720,171,55792,364,55360,132,68628,76,47656
5021.34,1733221,1703656,16370460,11507792,1010,109808,4543,67716,7532,372824,478,63924,2803,127344,77,56576,262,70720,171,55792,364,55360,132,68628,76,47656
6026.13,1733819,1704244,16370460,11507792,1011,109808,4548,67716,7535,372824,478,63924,2803,127344,78,56576,263,70720,172,55792,365,55360,132,68628,76,47656
7030.07,1734416,1704833,16370460,11507792,1012,109808,4550,67716,7538,372824,478,63924,2804,127344,78,56576,263,70720,172,55792,365,55360,132,68628,76,47656
8034.29,1735013,1705425,16370460,11507792,1012,109808,4550,67716,7540,372824,478,63924,2805,127344,78,56576,263,70720,172,55792,365,55360,132,68628,76,47656
9039.21,1735612,1706014,16370460,11507540,1012,109808,4552,68100,7544,372824,478,63924,2807,127344,78,56576,263,70720,172,55792,365,55360,132,68628,76,47656
10043.33,1736209,1706600,16370460,11501744,1012,109808,4554,68100,7547,372824,478,63924,2808,127344,78,56576,263,70720,172,55792,365,55360,133,68628,76,47656
11045.42,1736801,1707083,16370460,11482880,1013,109808,4572,69612,7567,372824,479,63924,2810,127344,78,56704,267,70848,173,55792,369,55360,133,68628,77,47656
12048.79,1737395,1707609,16370460,11482404,1013,109808,4581,68288,7589,372424,480,63924,2812,127344,79,56832,269,70976,174,55792,371,55360,134,68628,77,47656
13051.6,1737995,1708201,16370460,11482152,1013,109808,4582,68288,7592,372424,480,63924,2813,127344,79,56832,270,70976,174,55792,371,55360,134,68628,77,47656
14055.33,1738591,1708793,16370460,11483712,1014,109808,4582,68288,7593,372424,480,63924,2813,127344,79,56832,270,70976,174,55792,371,55360,134,68628,77,47656
15059.26,1739186,1709377,16370460,11476280,1014,109808,4585,68416,7596,372424,480,63924,2815,127344,79,56832,270,70976,174,55792,372,55360,134,68628,77,47656
16062.74,1739785,1709965,16370460,11476744,1015,109808,4588,67792,7600,372424,480,63924,2816,127344,79,56832,270,70976,174,55792,372,55360,134,68628,77,47656
17067.9,1740385,1710556,16370460,11480468,1015,109808,4591,67792,7602,372424,480,63924,2817,127344,79,56832,270,70976,175,55792,372,55360,134,68628,77,47656
18071.64,1740984,1711145,16370460,11482132,1015,109808,4593,69456,7604,372424,480,63924,2817,127344,79,56832,270,70976,175,55792,372,55360,135,68628,77,47656
19077.49,1741582,1711735,16370460,11482384,1015,109808,4594,69840,7607,372424,480,63924,2819,127344,79,56832,270,70976,175,55792,372,55360,135,68628,77,47656
20083.32,1742184,1712329,16370460,11482132,1015,109808,4595,69840,7609,372424,481,63924,2819,127344,79,56832,270,70976,175,55792,372,55360,135,68628,77,47656
21087.29,1742782,1712920,16370460,11482132,1016,109808,4597,69968,7611,372424,481,63924,2821,127344,79,56832,270,70976,175,55792,372,55360,135,68628,77,47656
22091.39,1743380,1713512,16370460,11482132,1016,109808,4598,69968,7615,372424,481,63924,2822,127344,79,56832,270,70976,175,55792,372,55360,135,68628,77,47656
