time,sent,received,total
1.94,277773.29,1162590.69,1406.6
1003.97,277775.84,1162592.41,1406.61
2008.21,277779.2,1162594.8,1406.62
3012.19,277782.28,1162596.95,1406.62
4016.73,277785.5,1162599.2,1406.62
5021.15,277788.8,1162601.65,1406.63
6026.05,277792.37,1162604.23,1406.64
7030.95,277795.73,1162606.67,1406.64
8034.81,277798.9,1162609.16,1406.65
9038.92,277802.3,1162611.61,1406.65
10042.4,277811.96,1162626.43,1406.68
11043.98,277822.33,1162657.63,1406.72
12047.05,277834.47,1164414.26,1408.45
13050.83,277837.63,1164416.48,1408.45
14053.92,277840.23,1164418.31,1408.46
15057.05,277843.7,1164420.49,1408.46
16061.36,277847.02,1164422.74,1408.47
17066.08,277850.36,1164425.18,1408.47
18069.38,277853.96,1164427.68,1408.48
19072.74,277857.29,1164429.99,1408.48
20077.07,277860.78,1164432.57,1408.49
21080.08,277864.2,1164434.82,1408.5
