time,total,idle,mem_total,mem_free,1704/cpu,1704/rss
1005.09,550239,500294,3887864,1102796,25600,669908
2005.9,550635,500663,3887864,1102180,25607,669924
3008.56,551033,501049,3887864,1102572,25615,669944
4009.24,551432,501416,3887864,1102896,25634,669704
5009.92,551829,501803,3887864,1102968,25642,669704
6010.63,552226,502192,3887864,1103176,25648,669704
7012.01,552620,502563,3887864,1103680,25664,669708
8015.46,553015,502943,3887864,1103732,25675,669712
9016.84,553409,503308,3887864,1103732,25699,669720
10018.73,553802,503681,3887864,1103532,25715,669720
11022.59,554191,503832,3887864,1101004,25870,669592
12024.0,554576,504039,3887864,1087848,25920,669784
13024.89,554966,504259,3887864,1080380,26008,669892
14025.6,555359,504599,3887864,1080156,26049,670080
15026.3,555757,504984,3887864,1081212,26058,671704
16027.55,556150,505365,3887864,1081628,26069,671704
17029.13,556546,505742,3887864,1083036,26081,671704
18030.41,556938,506106,3887864,1084416,26099,671704
19032.33,557330,506482,3887864,1085408,26113,671704
20033.99,557726,506864,3887864,1085848,26122,671704
21035.37,558122,507240,3887864,1087008,26136,671704
22036.2,558512,507595,3887864,1089256,26146,671704
23036.94,558907,507981,3887864,1089004,26154,671704
24037.77,559304,508355,3887864,1089764,26174,670248
