time,sent,received,total
1.81,12797.89,273501.76,279.59
1002.48,12800.08,273502.88,279.59
2003.15,12800.66,273504.53,279.59
3004.17,12800.72,273504.94,279.59
4005.39,12802.51,273508.33,279.6
5006.56,12813.03,273528.53,279.63
6007.81,12815.18,273531.35,279.63
7008.82,12815.4,273531.71,279.64
8009.42,12816.75,273536.21,279.64
9010.05,12819.75,273540.87,279.65
10010.67,12826.89,273647.66,279.76
11011.3,12991.26,274362.68,280.62
12011.93,13101.75,274722.57,281.08
13012.67,13227.75,275098.77,281.57
14013.35,13361.58,275960.97,282.54
15013.97,13373.25,275975.86,282.57
16014.6,13376.17,275978.12,282.57
17015.69,13376.81,275978.92,282.57
18016.8,13377.97,275980.93,282.58
19017.53,13382.14,275986.39,282.59
20018.16,13382.56,275989.07,282.59
21018.77,13383.42,275990.55,282.59
22019.4,13384.71,275991.92,282.59
23020.03,13385.43,275995.74,282.6
24021.17,13387.98,275999.39,282.6
25021.95,13451.3,276668.67,283.32
