time,total,idle,mem_total,mem_free,1704/cpu,1704/rss
1002.57,1094477,1002511,3887864,1064344,51158,695148
2003.2,1094874,1002893,3887864,1064096,51169,695196
3003.98,1095270,1003285,3887864,1064628,51174,695208
4005.53,1095670,1003669,3887864,1064376,51184,695236
5006.28,1096065,1004039,3887864,1064496,51199,695236
6006.9,1096462,1004425,3887864,1064556,51208,696928
7007.57,1096857,1004788,3887864,1062924,51216,696928
8008.29,1097254,1005176,3887864,1062924,51222,696932
9012.77,1097652,1005553,3887864,1064496,51240,694856
10016.01,1098051,1005943,3887864,1064296,51245,694856
11018.2,1098440,1006114,3887864,1063708,51385,695220
12019.21,1098827,1006329,3887864,1047996,51436,695312
13020.56,1099216,1006574,3887864,1045704,51521,695312
14021.35,1099606,1006792,3887864,1044968,51655,697088
15022.01,1100003,1007164,3887864,1044744,51671,697188
16023.47,1100397,1007531,3887864,1044744,51691,697236
17025.13,1100793,1007879,3887864,1035924,51714,697288
18025.86,1101190,1008263,3887864,1049140,51721,697300
19026.59,1101584,1008634,3887864,1049216,51741,697056
20027.27,1101981,1009022,3887864,1048964,51749,698628
21027.95,1102379,1009413,3887864,1049604,51753,698696
22029.48,1102775,1009801,3887864,1050116,51760,698716
23030.9,1103168,1010167,3887864,1050724,51779,698772
24032.38,1103564,1010535,3887864,1051120,51796,698792
