time,sent,received,total
3.36,23588.73,318856.57,334.42
1004.81,23590.41,318858.38,334.42
2005.63,23590.71,318858.54,334.42
3006.3,23591.69,318861.6,334.43
4006.97,23601.99,318877.87,334.45
5007.6,23602.86,318880.91,334.46
6008.24,23603.35,318881.62,334.46
7009.33,23604.26,318883.35,334.46
8010.62,23605.49,318885.04,334.46
9011.81,23607.32,318887.95,334.47
10013.03,23607.45,318888.35,334.47
11013.8,23758.6,319622.27,335.33
12014.45,23914.37,320032.74,335.89
13015.09,23969.77,320094.99,336.0
14015.73,24032.72,320153.01,336.12
15016.36,24073.15,320185.55,336.19
16017.43,24094.72,320246.7,336.27
17018.26,24293.91,321391.14,337.58
18018.89,24295.16,321392.89,337.59
19019.51,24298.91,321397.64,337.59
20020.13,24299.55,321400.73,337.6
21020.74,24300.36,321401.68,337.6
22021.51,24301.86,321402.81,337.6
23022.6,24303.53,321406.1,337.61
24023.72,24316.14,321423.33,337.64
25024.88,24317.12,321424.13,337.64
26026.21,24318.45,321425.41,337.64
27027.43,24319.92,321427.25,337.64
28028.23,24371.36,322062.75,338.31
