time,sent,received,total
2.56,26165.37,792524.91,799.5
1006.69,26167.81,792526.63,799.51
2010.84,26171.5,792529.26,799.51
3018.44,26174.78,792531.9,799.52
4023.23,26178.0,792534.15,799.52
5027.6,26181.27,792536.53,799.53
6032.13,26184.71,792539.11,799.53
7037.4,26188.16,792541.75,799.54
8043.01,26191.53,792544.26,799.55
9047.2,26194.93,792546.78,799.55
10053.13,26198.76,792549.55,799.56
11056.43,26211.65,792566.11,799.59
12058.91,26216.22,792569.1,799.59
13062.59,26219.49,792571.49,799.6
14066.19,26222.75,792573.73,799.61
15069.9,26225.72,792576.05,799.61
16075.38,26229.23,792578.5,799.62
17079.33,26232.81,792581.13,799.62
18083.94,26236.25,792583.52,799.63
19088.3,26239.7,792585.9,799.63
20092.1,26242.54,792588.01,799.64
21096.88,26245.85,792590.4,799.64
22101.25,26249.37,792592.97,799.65
