time,total,idle,mem_total,mem_free,11145/cpu,11145/rss,8894/cpu,8894/rss,9117/cpu,9117/rss,9167/cpu,9167/rss,9287/cpu,9287/rss,9375/cpu,9375/rss,9443/cpu,9443/rss
1006.41,2430172,2378386,16370456,11349420,23792,670620,288,70644,1124,52236,823,56436,497,56488,556,70292,183,48312
2012.01,2430771,2378982,16370456,11349420,23796,670620,288,70644,1124,52236,823,56436,497,56488,556,70292,183,48312
3019.29,2431377,2379575,16370456,11348412,23803,672284,288,70644,1124,52236,824,56436,497,56488,556,70292,183,48312
4024.09,2431976,2380168,16370456,11348412,23808,672284,289,70644,1124,52236,824,56436,498,56488,556,70292,183,48312
5028.48,2432575,2380758,16370456,11347656,23815,672300,289,70644,1124,52236,824,56436,499,56488,556,70292,183,48312
6032.59,2433175,2381345,16370456,11345892,23822,672684,289,70644,1124,52236,824,56436,499,56488,556,70292,183,48312
7037.62,2433775,2381936,16370456,11345892,23827,672684,289,70644,1124,52236,824,56436,499,56488,556,70292,183,48312
8043.78,2434376,2382529,16370456,11344632,23832,672684,289,70644,1124,52236,824,56436,499,56488,556,70292,183,48312
9047.96,2434974,2383115,16370456,11348256,23842,670376,289,70644,1124,52236,825,56436,499,56488,556,70292,183,48312
10053.51,2435576,2383701,16370456,11327092,23848,671084,289,70644,1124,52236,825,56436,499,56488,556,70292,183,48312
11057.1,2436173,2384182,16370456,11321956,23887,671260,289,70644,1124,52236,828,56948,500,56488,561,70292,183,48312
12059.65,2436768,2384728,16370456,11340112,23910,671464,291,70644,1124,52236,831,57076,501,56488,563,70292,184,48312
13063.49,2437365,2385316,16370456,11339872,23917,671464,291,70644,1124,52236,831,57076,501,56488,563,70292,184,48312
14067.01,2437965,2385909,16370456,11339872,23921,671464,291,70644,1124,52236,831,57076,501,56488,563,70292,184,48312
15070.56,2438564,2386500,16370456,11339632,23928,671540,291,70644,1125,52236,831,57076,501,56488,563,70292,184,48312
16075.96,2439163,2387090,16370456,11343608,23933,671540,291,70644,1125,52236,831,57076,501,56488,563,70292,184,48312
17080.19,2439764,2387681,16370456,11341956,23940,672692,291,70644,1125,52236,832,57076,501,56488,563,70292,184,48312
18084.77,2440364,2388273,16370456,11344536,23945,672820,291,70644,1125,52236,832,57076,502,56488,563,70292,184,48312
19089.69,2440964,2388861,16370456,11343540,23954,670692,291,70644,1125,52236,832,57076,502,56488,564,70292,184,48312
20092.89,2441563,2389456,16370456,11343540,23957,670692,291,70644,1125,52236,832,57076,502,56488,564,70292,184,48312
21096.99,2442163,2390050,16370456,11343540,23962,670692,291,70644,1125,52236,832,57076,502,56488,564,70292,184,48312
22102.66,2442764,2390643,16370456,11343540,23967,670692,291,70644,1125,52236,832,57076,502,56488,564,70292,184,48312
