time,total,idle,mem_total,mem_free,11145/cpu,11145/rss,8894/cpu,8894/rss,9117/cpu,9117/rss,9167/cpu,9167/rss,9287/cpu,9287/rss,9375/cpu,9375/rss,9443/cpu,9443/rss
1006.39,3067700,3004566,16370456,11299196,31569,688812,391,70240,1180,52364,1121,56528,612,56596,750,70548,241,48312
2010.0,3068300,3005159,16370456,11299196,31575,688812,391,70240,1180,52364,1121,56528,612,56596,750,70548,241,48312
3013.81,3068898,3005746,16370456,11300440,31581,688812,391,70240,1180,52364,1122,56528,612,56596,750,70548,241,48312
4016.41,3069496,3006339,16370456,11300440,31584,688812,391,70240,1180,52364,1122,56528,612,56596,751,70548,241,48312
5019.92,3070095,3006932,16370456,11300440,31589,688812,391,70240,1180,52364,1122,56528,612,56596,751,70548,241,48312
6024.6,3070695,3007524,16370456,11300188,31595,688940,391,70240,1180,52364,1122,56528,612,56596,751,70548,241,48312
7028.68,3071293,3008114,16370456,11300188,31603,688692,391,70240,1180,52364,1122,56528,612,56596,751,70548,241,48312
8033.0,3071893,3008707,16370456,11298676,31608,690484,391,70240,1180,52364,1122,56528,612,56596,752,70548,241,48312
9036.79,3072491,3009300,16370456,11298676,31612,690484,391,70240,1180,52364,1123,56528,612,56596,752,70548,241,48312
10040.06,3073090,3009888,16370456,11290612,31617,690484,391,70240,1180,52364,1123,56528,613,56596,752,70548,241,48312
11043.78,3073682,3010371,16370456,11277596,31656,689292,391,70240,1181,52364,1126,56784,614,56596,755,71444,241,48312
12047.85,3074279,3010909,16370456,11274904,31698,689272,392,70240,1181,52364,1130,57040,614,56596,758,71444,241,48312
13052.04,3074877,3011498,16370456,11272888,31702,689272,392,70240,1181,52364,1130,57040,614,56596,758,71444,242,48312
14057.0,3075479,3012091,16370456,11275140,31707,689272,393,70240,1181,52364,1130,57040,614,56596,758,71444,242,48312
15060.87,3076078,3012683,16370456,11274384,31712,689272,393,70240,1181,52364,1130,57040,614,56596,758,71444,242,48312
16064.91,3076678,3013272,16370456,11276184,31720,689656,393,70240,1181,52364,1130,57040,614,56596,758,71444,242,48312
17068.8,3077277,3013863,16370456,11277968,31726,688692,393,70240,1181,52364,1131,57040,614,56596,758,71444,242,48312
18073.24,3077878,3014453,16370456,11280976,31733,688692,393,70240,1181,52364,1131,57040,615,56596,758,71444,243,48312
19077.23,3078476,3015046,16370456,11280976,31738,688692,393,70240,1181,52364,1131,57040,615,56596,758,71444,243,48312
20084.71,3079078,3015638,16370456,11281900,31743,688692,393,70240,1181,52364,1131,57040,615,56596,758,71444,243,48312
21088.77,3079677,3016224,16370456,11290232,31752,688964,393,70240,1181,52364,1131,57040,615,56596,759,71444,243,48312
22093.98,3080277,3016815,16370456,11290008,31761,690932,393,70240,1181,52364,1132,57040,616,56596,759,71444,243,48312
