time,total,idle,mem_total,mem_free,2649/cpu,2649/rss,2691/cpu,2691/rss,2694/cpu,2694/rss,2695/cpu,2695/rss,3567/cpu,3567/rss,3587/cpu,3587/rss,50315/cpu,50315/rss,51561/cpu,51561/rss,51732/cpu,51732/rss,51997/cpu,51997/rss,52345/cpu,52345/rss,52803/cpu,52803/rss
1009.19,5719042,5135310,3887864,74208,75467,145368,36331,137588,32429,73188,165442,758016,5530,97532,1452,42796,872,53732,125,51720,327,52456,113,46720,562,66828,179,63728
2011.96,5719433,5135666,3887864,72696,75474,145368,36334,137588,32431,73188,165456,758916,5531,97532,1452,42816,874,53736,125,51720,327,52456,113,46720,562,66828,179,63728
3014.54,5719828,5136039,3887864,72948,75476,145368,36334,137588,32432,73188,165460,759204,5531,97532,1452,42816,874,53736,125,51720,327,52456,113,46720,562,66828,179,63728
4017.2,5720222,5136413,3887864,72948,75480,145372,36336,137588,32435,73188,165469,759868,5531,97532,1452,42816,875,53736,125,51720,327,52456,113,46720,562,66828,179,63728
5020.11,5720617,5136793,3887864,72444,75482,145372,36338,137588,32436,73188,165473,760088,5531,97532,1452,42816,875,53736,125,51720,327,52456,113,46720,562,66828,180,63744
6022.8,5721011,5137159,3887864,71688,75485,145372,36339,137588,32438,73192,165479,760672,5532,97532,1452,42816,875,53736,125,51720,327,52456,113,46720,563,66828,180,63744
7029.99,5721404,5137517,3887864,71436,75494,145372,36342,137588,32440,73192,165492,761188,5532,97532,1452,42816,876,53736,125,51720,328,52456,113,46720,563,66828,180,63744
8035.59,5721794,5137868,3887864,70688,75500,145392,36345,137588,32443,73192,165505,761872,5533,97532,1452,42816,876,53736,125,51720,328,52456,114,46720,563,66828,180,63744
9045.5,5722186,5138230,3887864,70176,75505,145392,36347,137588,32446,73192,165513,762120,5533,97532,1452,42816,877,53736,125,51720,328,52456,114,46720,563,66828,180,63800
10053.36,5722581,5138571,3887864,63432,75513,145396,36351,137588,32449,73192,165529,763124,5533,97532,1452,42816,877,53736,125,51728,328,52456,114,46720,564,66828,181,63800
11071.32,5722974,5138664,3887864,65624,75541,145916,36361,137592,32455,73200,165658,788480,5535,97532,1453,42844,891,53744,125,51768,332,52460,114,46728,578,66836,181,63800
12080.69,5723378,5138751,3887864,66560,75568,146120,36371,137592,32457,73200,165777,796716,5540,97540,1454,42868,899,53744,126,51860,338,52464,115,46736,587,66912,182,63800
13089.98,5723771,5139018,3887864,67920,75571,146128,36374,137596,32459,73200,165784,796768,5540,97540,1454,42868,900,53744,126,51860,338,52464,115,46736,587,66912,182,63800
14096.37,5724161,5139290,3887864,66940,75575,146136,36377,137596,32461,73200,165793,796828,5541,97540,1454,42868,900,53744,127,51860,338,52464,115,46736,588,66912,183,63800
15103.46,5724557,5139556,3887864,67764,75578,146136,36380,137596,32463,73200,165804,796900,5542,97540,1454,42872,900,53744,127,51868,339,52464,115,46736,589,66912,183,63800
16141.03,5724951,5139794,3887864,66352,75587,146140,36385,137596,32466,73200,165826,797108,5544,97544,1455,42872,902,53744,129,51948,340,52464,115,46736,589,66912,183,63800
17151.7,5725353,5139913,3887864,65756,75613,146192,36394,137596,32468,73204,165911,797184,5546,97576,1455,42896,916,53760,132,52108,346,52676,117,46744,605,66988,187,63812
18154.51,5725752,5140190,3887864,65232,75625,146208,36398,137596,32471,73204,165952,797224,5547,97576,1455,42896,923,53764,132,52176,348,52732,117,46748,612,66992,189,63812
19157.41,5726150,5140546,3887864,64472,75628,146216,36399,137596,32472,73204,165958,797224,5548,97576,1455,42896,923,53764,133,52180,348,52732,117,46748,613,66992,189,63812
20162.7,5726551,5140897,3887864,64816,75632,146228,36401,137596,32474,73204,165967,797224,5548,97576,1455,42896,923,53764,133,52188,348,52732,117,46748,614,66992,189,63812
21174.14,5726945,5141211,3887864,64072,75642,146244,36405,137596,32475,73204,165991,797228,5549,97576,1455,42896,926,53764,133,52188,351,52768,118,46748,615,66992,189,63812
22183.47,5727334,5141530,3887864,63572,75649,146252,36411,137596,32479,73204,166007,797228,5550,97576,1456,42904,926,53764,133,52188,351,52768,118,46748,616,66992,189,63812
23188.49,5727725,5141861,3887864,63572,75655,146252,36412,137596,32481,73204,166016,797228,5550,97576,1456,42904,928,53764,133,52188,351,52768,118,46748,616,66992,189,63812
24192.92,5728116,5142193,3887864,63000,75659,146252,36414,137596,32486,73204,166030,797228,5550,97576,1456,42904,929,53764,133,52188,351,52772,118,46748,616,66992,189,63812
25197.67,5728509,5142524,3887864,64804,75666,146252,36419,137596,32489,73204,166041,797228,5550,97576,1456,42904,930,53764,133,52188,352,52772,118,46748,617,66992,189,63812
26204.42,5728898,5142861,3887864,64584,75670,146252,36422,137596,32491,73204,166052,797228,5550,97576,1456,42904,930,53764,133,52188,353,52772,118,46748,617,66992,189,63812
27207.38,5729293,5143202,3887864,64332,75676,146252,36425,137596,32493,73204,166062,797228,5551,97576,1456,42904,930,53764,133,52188,353,52772,118,46748,617,66992,190,63812
