time,sent,received,total
2.07,44155.36,807404.71,831.6
1003.17,44156.05,807405.02,831.6
2004.38,44156.11,807405.3,831.6
3005.75,44157.52,807413.56,831.61
4006.93,44157.52,807413.62,831.61
5008.06,44161.93,807425.08,831.63
6008.88,44162.11,807425.14,831.63
7009.49,44162.11,807425.2,831.63
8010.05,44162.11,807425.25,831.63
9010.63,44162.11,807425.31,831.63
10011.2,44164.57,807427.97,831.63
11012.21,44168.86,807451.68,831.66
12012.98,44175.24,807496.38,831.71
13013.63,44176.13,807500.67,831.71
14014.24,44176.31,807500.89,831.72
15014.85,44185.73,807553.08,831.78
16015.44,44192.01,807592.39,831.82
17016.35,44200.92,807669.98,831.9
18017.36,44201.11,807670.18,831.91
19018.47,44201.29,807670.33,831.91
20019.53,44202.75,807672.37,831.91
21020.62,44202.75,807672.43,831.91
22021.8,44202.93,807672.62,831.91
23022.95,44203.12,807672.68,831.91
24024.11,44203.12,807673.1,831.91
25025.26,44204.46,807678.5,831.92
26026.37,44206.91,807683.88,831.92
27027.15,44209.3,807716.6,831.96
