time,total,idle,mem_total,mem_free,8663/cpu,8663/rss,9205/cpu,9205/rss
1003.36,5993840,5837763,3887864,146504,28920,101368,488,3016
2005.73,5994239,5838158,3887864,146096,28922,101368,488,3016
3007.84,5994641,5838552,3887864,146916,28925,101368,488,3016
4010.34,5995041,5838945,3887864,146916,28929,101368,488,3016
5014.11,5995437,5839327,3887864,144616,28932,101368,488,3016
6015.72,5995832,5839715,3887864,144728,28934,101368,488,3016
7016.58,5996231,5840087,3887864,144344,28936,101368,488,3016
8017.35,5996629,5840485,3887864,144452,28938,101368,488,3016
9018.12,5997028,5840883,3887864,145464,28938,101368,488,3016
10018.89,5997429,5841281,3887864,145896,28939,101368,488,3016
11020.0,5997828,5841674,3887864,146000,28942,101368,488,3016
12021.09,5998218,5842010,3887864,141148,28953,101368,488,3016
13025.53,5998611,5842344,3887864,123712,28957,101368,488,3016
14026.39,5999004,5842716,3887864,125072,28965,101376,488,3016
15027.26,5999404,5843112,3887864,126180,28967,101376,488,3016
16028.2,5999805,5843508,3887864,127700,28968,101376,488,3016
17029.89,6000201,5843885,3887864,128388,28970,101376,488,3016
18031.82,6000599,5844280,3887864,128884,28972,101376,488,3016
19033.83,6000997,5844670,3887864,129460,28976,101376,488,3016
20035.92,6001396,5845059,3887864,130024,28979,101376,489,3016
21037.84,6001793,5845445,3887864,130272,28986,101376,489,3016
22039.87,6002190,5845840,3887864,130744,28988,101376,489,3016
23041.82,6002588,5846235,3887864,131188,28990,101376,489,3016
24044.18,6002985,5846594,3887864,130880,29003,101376,489,3016
25046.03,6003378,5846966,3887864,131016,29018,101376,489,3016
26047.96,6003775,5847357,3887864,132860,29022,101376,489,3016
27048.93,6004172,5847727,3887864,130016,29024,101376,489,3016
28049.72,6004571,5848124,3887864,129800,29025,101376,489,3016
29050.51,6004970,5848521,3887864,132172,29026,101376,489,3016
30051.3,6005370,5848918,3887864,130912,29027,101376,490,3016
31052.12,6005769,5849312,3887864,130816,29030,101376,490,3016
32053.99,6006168,5849709,3887864,131068,29030,101376,490,3016
33055.74,6006569,5850103,3887864,131068,29034,101376,490,3016
34057.73,6006969,5850499,3887864,131824,29035,101376,490,3016
35059.49,6007367,5850894,3887864,131924,29037,101376,490,3016
36061.04,6007760,5851262,3887864,129976,29044,101376,490,3016
