time,sent,received,total
2.77,268336.34,876089.7,1117.6
1003.6,268339.05,876091.03,1117.61
2004.24,268343.22,876091.75,1117.61
3004.89,268348.58,876093.97,1117.62
4005.55,268352.69,876094.69,1117.62
5006.55,268352.81,876094.79,1117.62
6007.74,268360.01,876096.86,1117.63
7008.77,268360.38,876097.05,1117.63
8009.51,268360.47,876097.26,1117.63
9010.18,268360.47,876097.32,1117.63
10011.08,268360.47,876097.38,1117.63
11012.42,268395.79,876104.45,1117.68
12016.03,268431.66,876107.1,1117.71
13017.08,268437.05,876109.17,1117.72
14019.03,268483.73,876114.62,1117.77
15024.18,268556.93,876121.61,1117.85
16025.36,268601.23,876126.76,1117.9
17026.07,268607.14,876128.85,1117.91
18027.71,268607.14,876128.91,1117.91
19028.75,268607.14,876128.97,1117.91
20029.5,268607.32,876129.16,1117.91
21030.16,268610.88,876131.33,1117.91
22030.81,268610.88,876131.58,1117.91
23031.54,268612.62,876133.08,1117.92
24032.2,268616.79,876133.9,1117.92
25033.09,268616.79,876133.96,1117.92
26034.06,268622.98,876135.46,1117.93
27035.04,268623.05,876135.79,1117.93
