time,total,idle,mem_total,mem_free,2649/cpu,2649/rss,2691/cpu,2691/rss,2694/cpu,2694/rss,2695/cpu,2695/rss,3567/cpu,3567/rss,3587/cpu,3587/rss,50315/cpu,50315/rss,51561/cpu,51561/rss,51732/cpu,51732/rss,51997/cpu,51997/rss,52345/cpu,52345/rss,52803/cpu,52803/rss
1006.52,5966477,5347211,3887864,73864,79515,122964,38312,137740,33843,73240,174904,822468,5900,97832,1526,43332,1588,54016,294,58368,631,54188,204,46996,1179,68796,349,64348
2009.17,5966878,5347588,3887864,73864,79519,122964,38313,137740,33846,73240,174911,822468,5900,97832,1526,43332,1589,54016,294,58368,631,54188,204,46996,1179,68796,349,64348
3011.81,5967274,5347966,3887864,73864,79521,122964,38315,137740,33847,73240,174917,822468,5900,97832,1526,43332,1589,54016,294,58368,631,54188,204,46996,1180,68796,349,64348
4014.51,5967670,5348346,3887864,74116,79524,122964,38317,137740,33848,73240,174922,822468,5900,97832,1526,43332,1590,54016,294,58368,631,54188,204,46996,1180,68796,349,64348
5020.97,5968066,5348721,3887864,73864,79529,122964,38319,137740,33850,73240,174929,822468,5900,97832,1527,43332,1590,54016,294,58368,631,54188,204,46996,1180,68796,349,64348
6023.67,5968461,5349080,3887864,73864,79533,122964,38320,137740,33854,73240,174938,822468,5900,97832,1527,43332,1590,54016,294,58368,631,54188,204,46996,1180,68796,349,64348
7027.03,5968863,5349457,3887864,73864,79536,122964,38322,137740,33856,73240,174945,822468,5901,97832,1527,43332,1590,54016,294,58376,631,54188,204,46996,1180,68796,349,64348
8029.73,5969255,5349832,3887864,73864,79539,122964,38324,137740,33857,73240,174952,822468,5901,97832,1527,43332,1591,54016,295,58384,632,54188,204,46996,1181,68796,350,64348
9032.51,5969646,5350205,3887864,73864,79543,122964,38326,137740,33858,73240,174960,822468,5901,97832,1527,43332,1591,54016,295,58384,632,54188,204,46996,1182,68796,350,64348
10040.0,5970043,5350571,3887864,69328,79547,122964,38328,137740,33860,73240,174970,822468,5901,97832,1527,43332,1592,54016,295,58384,633,54188,205,46996,1182,68796,350,64348
11063.0,5970431,5350661,3887864,70944,79584,124184,38341,137740,33863,73240,175060,822480,5904,97832,1527,43332,1608,54020,295,58444,637,54204,205,46996,1197,68808,350,64356
12070.02,5970828,5350836,3887864,69876,79601,124192,38348,137740,33866,73240,175116,822488,5907,97832,1527,43340,1615,54036,297,58508,640,54204,206,47000,1205,68872,350,64356
13075.87,5971223,5351107,3887864,69504,79605,124192,38351,137740,33867,73240,175124,822488,5907,97832,1527,43340,1616,54036,297,58508,641,54204,206,47000,1206,68872,350,64356
14083.37,5971613,5351376,3887864,72812,79609,124192,38355,137740,33870,73240,175135,822488,5908,97832,1528,43344,1616,54036,297,58512,641,54240,206,47000,1207,68872,351,64356
15096.43,5972005,5351614,3887864,71736,79619,124192,38359,137740,33871,73240,175156,822496,5910,97832,1530,43344,1616,54036,300,59628,642,54240,206,47000,1209,68872,351,64356
16107.31,5972397,5351713,3887864,71736,79645,124212,38368,137740,33874,73240,175256,822516,5913,97832,1530,43344,1633,54080,304,59684,648,54240,207,47000,1226,68884,357,64356
17110.03,5972791,5351997,3887864,71120,79656,124212,38373,137740,33875,73240,175292,822516,5914,97832,1530,43344,1640,54096,305,59712,651,54256,208,47000,1234,68900,357,64392
18112.76,5973189,5352352,3887864,71120,79659,124212,38374,137740,33877,73240,175298,822516,5914,97832,1530,43344,1640,54096,305,59720,651,54256,208,47000,1235,68900,357,64448
19115.49,5973584,5352706,3887864,70828,79663,124212,38376,137740,33879,73240,175305,822516,5915,97836,1530,43344,1640,54096,305,59720,652,54256,208,47000,1235,68900,357,64448
20119.19,5973980,5353047,3887864,73204,79668,124212,38378,137740,33880,73240,175316,822520,5915,97836,1530,43344,1642,54096,305,59720,653,54256,208,47000,1236,68900,357,64448
21124.0,5974363,5353364,3887864,71308,79675,124212,38381,137740,33881,73240,175331,822520,5915,97836,1530,43344,1642,54096,305,59720,653,54256,209,47000,1236,68900,358,64448
22127.12,5974760,5353711,3887864,79144,79679,124212,38382,137740,33885,73240,175339,822520,5916,97836,1530,43344,1643,54096,305,59720,653,54256,209,47000,1236,68900,358,64448
23129.98,5975158,5354063,3887864,79564,79683,124212,38385,137744,33886,73240,175348,822520,5916,97836,1530,43344,1643,54096,305,59732,654,54256,209,47000,1237,68900,358,64448
24133.06,5975553,5354420,3887864,79072,79686,124212,38387,137744,33887,73240,175353,822520,5917,97836,1530,43344,1643,54096,305,59732,654,54256,209,47000,1237,68900,358,64448
25135.83,5975949,5354774,3887864,78680,79691,124212,38389,137744,33890,73240,175360,822520,5917,97836,1530,43344,1644,54096,305,59732,654,54256,209,47000,1237,68900,358,64448
26138.55,5976346,5355124,3887864,78680,79694,124212,38391,137744,33891,73240,175368,822520,5917,97836,1530,43344,1644,54096,305,59732,654,54256,209,47000,1238,68900,359,64448
