time,total,idle,mem_total,mem_free,8663/cpu,8663/rss,9205/cpu,9205/rss
1007.22,6210520,6049374,3887864,146760,30403,101488,512,3016
2009.18,6210917,6049753,3887864,144872,30405,101488,512,3016
3011.22,6211315,6050135,3887864,144872,30412,101488,512,3016
4013.2,6211714,6050531,3887864,145160,30414,101488,512,3016
5014.43,6212110,6050907,3887864,135988,30417,101488,512,3016
6015.32,6212506,6051299,3887864,147680,30419,101488,512,3016
7016.17,6212903,6051695,3887864,147680,30421,101488,512,3016
8016.99,6213303,6052093,3887864,147932,30422,101488,512,3016
9017.81,6213703,6052491,3887864,147932,30423,101488,512,3016
10019.65,6214102,6052889,3887864,148580,30423,101488,512,3016
11021.16,6214499,6053272,3887864,147788,30429,101488,512,3016
12022.3,6214894,6053613,3887864,143764,30437,101488,512,3016
13023.16,6215285,6053951,3887864,128372,30448,101488,512,3016
14023.98,6215685,6054321,3887864,124240,30450,101488,512,3016
15024.82,6216080,6054707,3887864,124016,30455,101492,512,3016
16025.78,6216478,6055068,3887864,122232,30462,101492,513,3016
17027.69,6216873,6055455,3887864,123468,30468,101492,513,3016
18029.76,6217271,6055849,3887864,123572,30471,101492,513,3016
19031.77,6217669,6056243,3887864,123872,30472,101492,513,3016
20033.82,6218068,6056640,3887864,124940,30474,101492,513,3016
21035.59,6218467,6057034,3887864,125764,30476,101492,513,3016
22037.65,6218866,6057429,3887864,126524,30477,101492,513,3016
23039.67,6219263,6057808,3887864,127156,30490,101492,513,3016
24041.52,6219663,6058203,3887864,127728,30491,101492,513,3016
25043.51,6220062,6058597,3887864,128036,30494,101492,513,3016
26044.45,6220456,6058965,3887864,129172,30497,101492,513,3016
27045.41,6220854,6059361,3887864,131356,30498,101492,514,3016
28046.31,6221254,6059744,3887864,126728,30502,101496,514,3016
