time,sent,received,total
1.23,272666.74,876913.26,1122.64
1001.96,272667.14,876913.6,1122.64
2002.84,272680.73,876916.99,1122.65
3003.5,272680.83,876917.2,1122.65
4004.5,272684.94,876917.92,1122.66
5005.43,272686.26,876918.48,1122.66
6006.53,272686.33,876918.81,1122.66
7007.6,272686.51,876919.0,1122.66
8008.58,272686.7,876919.06,1122.66
9009.34,272686.7,876919.12,1122.66
10010.17,272688.91,876920.38,1122.67
11013.88,272721.39,876927.27,1122.7
12015.26,272765.04,876931.7,1122.75
13017.34,272769.4,876932.57,1122.75
14021.07,272777.74,876933.61,1122.76
15022.14,272821.3,876938.84,1122.81
16023.01,272896.68,876947.31,1122.89
17023.76,272935.17,876952.01,1122.94
18024.42,272935.26,876952.23,1122.94
19025.25,272935.26,876952.29,1122.94
20025.96,272945.27,876954.39,1122.95
21026.67,272945.4,876955.16,1122.95
22027.34,272949.76,876956.07,1122.95
23028.01,272951.16,876957.52,1122.96
24028.7,272955.33,876958.29,1122.96
25029.71,272957.6,876959.6,1122.97
26030.83,272957.6,876959.66,1122.97
27032.22,272957.8,876959.77,1122.97
