time,sent,received,total
1.8,45859.21,815251.69,840.93
1002.47,45859.95,815253.24,840.93
2003.14,45862.35,815261.65,840.94
3003.75,45863.78,815262.89,840.94
4004.33,45863.78,815262.95,840.94
5005.3,45863.78,815263.01,840.94
6006.32,45865.51,815264.88,840.95
7007.38,45865.51,815264.94,840.95
8008.52,45865.88,815265.13,840.95
9009.62,45865.88,815265.19,840.95
10010.35,45866.95,815266.17,840.95
11010.93,45868.11,815279.34,840.96
12011.53,45877.29,815341.76,841.03
13012.23,45878.0,815346.1,841.04
14012.83,45884.88,815387.72,841.09
15013.75,45892.63,815460.0,841.16
16014.51,45899.01,815503.59,841.21
17015.11,45899.29,815503.75,841.21
18015.74,45900.79,815505.0,841.22
19016.34,45900.97,815505.19,841.22
20016.93,45901.16,815505.25,841.22
21017.93,45901.67,815506.43,841.22
22019.0,45902.72,815514.64,841.23
23020.18,45903.08,815514.75,841.23
24021.25,45904.45,815515.99,841.23
25022.39,45904.58,815516.28,841.23
26023.39,45907.39,815519.09,841.24
27024.56,45907.76,815519.28,841.24
28025.62,45907.76,815519.34,841.24
29026.75,45909.95,815552.02,841.27
