time,sent,received,total
3.17,54145.19,18182.41,70.63
1004.34,54145.53,18182.57,70.63
2005.39,54146.87,18183.54,70.63
3006.58,54147.27,18183.7,70.63
4007.32,54148.54,18184.53,70.64
5007.91,54148.8,18184.64,70.64
6008.51,54151.07,18186.27,70.64
7009.13,54152.8,18187.75,70.64
8009.74,54156.01,18189.79,70.65
9010.77,54158.91,18191.2,70.65
10014.98,54169.37,18209.62,70.68
11015.54,54247.29,18228.05,70.78
12016.09,54279.29,18257.91,70.84
13016.63,54345.45,18292.21,70.93
14017.25,54350.61,18296.72,70.94
15018.22,54350.92,18297.04,70.94
16019.42,54351.75,18297.86,70.95
17020.48,54352.11,18298.02,70.95
18021.49,54353.41,18300.06,70.95
19022.71,54357.63,18307.13,70.96
20023.78,54360.03,18308.97,70.97
21025.01,54360.42,18309.18,70.97
22026.11,54362.87,18311.57,70.97
23027.16,54365.19,18313.07,70.97
24027.87,54368.06,18314.97,70.98
