time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1004.15,2639442,2517736,3887864,1676096,22083,252924,53302,557688,167,79372,3147,65652,14681,122944,4843,111892
2005.65,2639838,2518126,3887864,1676344,22085,252936,53306,557696,168,79372,3147,65652,14682,122944,4843,111892
3007.1,2640236,2518517,3887864,1677036,22087,252936,53310,557696,168,79372,3147,65652,14684,122944,4844,111892
4010.94,2640632,2518902,3887864,1677172,22090,252944,53317,557696,168,79372,3147,65652,14686,122944,4844,111892
5014.99,2641022,2519278,3887864,1678216,22094,252944,53326,557696,168,79372,3149,65652,14688,122944,4844,111892
6018.46,2641418,2519657,3887864,1677972,22098,252948,53335,557704,168,79372,3149,65652,14691,122944,4846,111892
7023.19,2641816,2520038,3887864,1678152,22103,252960,53343,557704,168,79372,3149,65656,14693,122944,4846,111892
8027.28,2642209,2520416,3887864,1678044,22106,252960,53352,557712,168,79372,3149,65656,14696,122944,4847,111892
9031.16,2642603,2520785,3887864,1675588,22113,252972,53362,557712,168,79372,3150,65656,14699,122944,4848,111892
10033.23,2642999,2521156,3887864,1673248,22113,252972,53364,557712,168,79372,3150,65656,14701,122944,4848,111892
11034.85,2643395,2521443,3887864,1663220,22124,252976,53390,557720,168,79372,3152,65656,14706,122944,4849,111892
12037.96,2643785,2521806,3887864,1663220,22126,252976,53396,557720,168,79372,3152,65656,14708,122944,4849,111892
13039.66,2644173,2522162,3887864,1663808,22130,252980,53405,557720,168,79372,3152,65656,14711,122948,4849,111892
14041.25,2644569,2522550,3887864,1665004,22133,252980,53410,557720,168,79372,3153,65656,14713,122948,4849,111892
15044.4,2644965,2522935,3887864,1665664,22136,252980,53416,557720,168,79372,3153,65656,14715,122948,4850,111892
16048.32,2645358,2523315,3887864,1666864,22140,252980,53424,557720,168,79372,3153,65656,14717,122948,4851,111892
17052.58,2645754,2523694,3887864,1667816,22145,252980,53433,557720,168,79372,3155,65656,14720,122948,4852,111892
18056.3,2646149,2524070,3887864,1669096,22149,252980,53440,557748,168,79372,3155,65656,14722,122948,4852,111892
19060.64,2646543,2524445,3887864,1670240,22154,252980,53451,557936,168,79372,3156,65656,14726,122948,4852,111892
20062.44,2646939,2524811,3887864,1672796,22156,252980,53455,558008,168,79372,3156,65656,14727,122948,4853,111892
21064.13,2647339,2525206,3887864,1673024,22157,252980,53456,558080,168,79372,3156,65656,14728,122948,4853,111892
22065.78,2647736,2525598,3887864,1673276,22158,252980,53460,558224,168,79372,3156,65656,14729,122948,4853,111892
23067.45,2648134,2525992,3887864,1673276,22160,252980,53463,558372,168,79372,3157,65656,14730,122948,4853,111892
