time,sent,received,total
2.07,37956.23,74582.75,109.9
1002.83,37956.56,74583.37,109.9
2003.58,37957.56,74584.51,109.9
3004.27,37960.29,74587.16,109.91
4005.37,37961.14,74588.16,109.91
5006.42,37961.52,74588.65,109.91
6007.6,37962.37,74589.76,109.91
7008.96,37965.02,74592.19,109.92
8010.21,37967.12,74595.32,109.92
9011.0,37968.61,74598.4,109.93
10011.71,37969.76,74599.46,109.93
11012.85,37986.65,74671.33,110.02
12014.38,38024.86,74703.23,110.09
13015.59,38071.93,75061.26,110.48
14016.67,38087.92,75074.51,110.51
15017.55,38089.78,75077.11,110.51
16018.6,38090.88,75078.4,110.52
17019.88,38091.34,75078.92,110.52
18021.12,38093.08,75080.84,110.52
19022.29,38093.45,75081.03,110.52
20023.33,38094.29,75082.21,110.52
21024.23,38094.42,75082.62,110.52
22024.92,38096.75,75085.11,110.53
23025.54,38098.7,75087.67,110.53
24026.19,38100.81,75090.41,110.54
25026.92,38113.36,75160.43,110.62
