time,total,idle,mem_total,mem_free,29581/cpu,29581/rss,947/cpu,947/rss
1008.17,2698876,2554222,3887864,1506848,1246,53440,1234,91276
2010.2,2699275,2554608,3887864,1507448,1246,53440,1234,91276
3011.15,2699670,2554974,3887864,1508248,1246,53440,1235,91276
4012.0,2700071,2555369,3887864,1508268,1246,53440,1235,91276
5012.87,2700473,2555752,3887864,1508108,1247,53440,1235,91276
6017.31,2700873,2556149,3887864,1508340,1247,53440,1235,91276
7018.19,2701270,2556539,3887864,1508588,1247,53440,1235,91276
8020.98,2701669,2556930,3887864,1509564,1247,53440,1235,91276
9022.84,2702065,2557309,3887864,1509756,1247,53440,1235,91276
10024.76,2702459,2557685,3887864,1509672,1247,53440,1236,91276
11027.21,2702851,2557987,3887864,1504716,1249,53448,1236,91276
12029.1,2703236,2558244,3887864,1463672,1249,53448,1236,91276
13030.8,2703633,2558333,3887864,1427396,1249,53448,1237,91276
14031.62,2704033,2558727,3887864,1426920,1249,53448,1237,91276
15032.49,2704428,2559111,3887864,1429612,1250,53448,1237,91276
16034.18,2704827,2559502,3887864,1430220,1250,53448,1237,91276
17035.2,2705224,2559875,3887864,1430896,1250,53448,1237,91276
18036.22,2705624,2560267,3887864,1432416,1250,53448,1237,91276
19037.15,2706024,2560658,3887864,1434784,1250,53448,1237,91276
20038.01,2706421,2561040,3887864,1434936,1250,53448,1238,91276
21038.84,2706821,2561429,3887864,1435476,1250,53448,1238,91276
22040.57,2707216,2561817,3887864,1436284,1250,53448,1238,91276
23043.31,2707611,2562199,3887864,1436356,1251,53448,1238,91276
24044.45,2708008,2562573,3887864,1433896,1251,53448,1238,91276
25046.09,2708396,2562873,3887864,1489640,1252,53448,1238,91276
