time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1009.79,2722256,2596381,3887864,1664580,22832,255044,54924,563488,170,79372,3234,65664,15156,123620,4946,111900
2017.08,2722652,2596767,3887864,1664764,22836,255044,54929,563488,170,79372,3235,65664,15159,123620,4947,111900
3020.77,2723048,2597149,3887864,1665052,22838,255044,54935,563488,170,79372,3235,65664,15161,123620,4947,111900
4024.28,2723445,2597528,3887864,1665316,22843,255044,54945,563488,170,79372,3236,65664,15165,123620,4947,111900
5025.94,2723837,2597881,3887864,1663692,22849,255044,54956,563488,170,79372,3236,65664,15167,123620,4948,111900
6027.5,2724235,2598271,3887864,1663692,22851,255044,54961,563492,170,79372,3236,65664,15169,123620,4948,111900
7029.03,2724634,2598658,3887864,1663888,22855,255044,54967,563492,170,79372,3237,65664,15170,123620,4950,111900
8030.55,2725032,2599049,3887864,1663816,22855,255044,54969,563492,170,79372,3237,65664,15171,123620,4950,111900
9032.14,2725430,2599440,3887864,1663964,22857,255044,54973,563492,170,79372,3237,65664,15172,123620,4950,111900
10039.76,2725832,2599821,3887864,1661432,22861,255044,54980,563492,170,79372,3237,65664,15174,123620,4951,111900
11041.62,2726220,2600098,3887864,1657788,22873,255148,55010,563492,170,79372,3238,65664,15180,123628,4951,111900
12043.19,2726623,2600486,3887864,1657788,22875,255148,55014,563496,170,79372,3238,65664,15183,123696,4952,111900
13044.78,2727020,2600850,3887864,1657536,22878,255188,55023,563500,170,79372,3240,65664,15186,123712,4952,111900
14046.3,2727418,2601243,3887864,1659808,22879,255188,55026,563500,170,79372,3240,65664,15186,123712,4952,111900
15047.85,2727812,2601617,3887864,1663644,22881,255192,55031,563500,170,79372,3240,65664,15187,123712,4952,111900
16051.43,2728208,2602004,3887864,1663644,22884,255248,55036,563500,170,79372,3240,65664,15190,123712,4952,111900
17055.9,2728601,2602380,3887864,1663644,22891,255524,55046,563500,170,79372,3241,65664,15192,123712,4953,111900
18060.06,2728994,2602758,3887864,1663644,22893,255696,55054,563500,170,79372,3241,65664,15197,123720,4953,111900
19061.81,2729391,2603119,3887864,1663896,22905,255996,55062,563500,170,79372,3242,65664,15211,123756,4955,111900
20063.39,2729787,2603507,3887864,1663896,22908,255996,55067,563500,170,79372,3242,65664,15213,123756,4955,111900
21065.04,2730186,2603899,3887864,1664164,22909,255996,55071,563500,170,79372,3242,65664,15215,123756,4955,111900
22066.71,2730583,2604293,3887864,1664812,22910,255996,55073,563500,170,79372,3242,65664,15216,123756,4955,111900
23068.32,2730981,2604683,3887864,1665160,22913,256004,55077,563500,170,79372,3243,65664,15217,123756,4955,111900
