time,sent,received,total
4.14,38589.73,77082.16,112.96
1005.77,38591.42,77084.12,112.96
2007.19,38591.55,77084.54,112.96
3008.32,38593.92,77087.01,112.97
4010.04,38595.53,77089.67,112.97
5011.03,38603.5,77094.91,112.99
6011.83,38603.56,77095.23,112.99
7012.6,38604.28,77096.01,112.99
8013.5,38604.51,77096.31,112.99
9014.21,38605.43,77097.72,112.99
10014.87,38606.17,77100.48,112.99
11015.57,38628.12,77179.96,113.09
12016.25,38631.28,77184.74,113.1
13016.91,38673.77,77526.08,113.48
14017.61,38674.64,77527.1,113.48
15018.27,38675.99,77528.36,113.48
16019.4,38676.05,77528.73,113.48
17020.65,38677.38,77530.02,113.48
18022.03,38678.87,77531.57,113.49
19022.86,38680.97,77534.4,113.49
20023.52,38682.38,77536.62,113.5
21024.2,38683.29,77537.75,113.5
22024.93,38684.39,77538.81,113.5
23025.61,38685.43,77540.66,113.5
24026.51,38689.68,77583.51,113.55
