time,total,idle,mem_total,mem_free,29581/cpu,29581/rss,947/cpu,947/rss
1007.76,2726282,2579692,3887864,1503436,1265,53448,1244,91276
2010.0,2726679,2580076,3887864,1503944,1265,53448,1244,91276
3011.84,2727078,2580460,3887864,1504420,1265,53448,1244,91276
4014.16,2727475,2580846,3887864,1504612,1266,53448,1244,91276
5015.79,2727872,2581225,3887864,1505360,1266,53448,1244,91276
6016.79,2728270,2581591,3887864,1507324,1266,53448,1245,91276
7017.83,2728668,2581984,3887864,1507396,1266,53448,1245,91276
8018.74,2729066,2582376,3887864,1507656,1267,53448,1245,91276
9019.58,2729466,2582769,3887864,1507656,1267,53448,1245,91276
10020.49,2729866,2583153,3887864,1507920,1267,53448,1245,91276
11024.37,2730258,2583453,3887864,1501000,1267,53448,1246,91276
12025.49,2730648,2583763,3887864,1461960,1267,53448,1246,91276
13027.67,2731043,2583929,3887864,1447920,1268,53448,1246,91276
14028.5,2731443,2584323,3887864,1447672,1268,53448,1246,91276
15029.41,2731840,2584717,3887864,1448348,1269,53448,1246,91276
16031.47,2732234,2585087,3887864,1454260,1269,53448,1246,91276
17034.29,2732631,2585471,3887864,1455548,1269,53448,1246,91276
18036.52,2733028,2585852,3887864,1456280,1270,53448,1246,91276
19037.56,2733426,2586233,3887864,1457064,1270,53448,1247,91276
20038.42,2733822,2586619,3887864,1458096,1270,53448,1247,91276
21039.37,2734223,2587004,3887864,1458252,1270,53448,1248,91276
22040.27,2734623,2587396,3887864,1458360,1270,53448,1248,91276
23041.16,2735022,2587789,3887864,1459288,1270,53448,1249,91276
24043.93,2735413,2588117,3887864,1490812,1271,53448,1249,91276
