time,sent,received,total
2.61,58687.21,19905.47,76.75
1003.78,58690.28,19909.02,76.76
2004.88,58691.88,19910.45,76.76
3005.96,58692.72,19911.32,76.76
4006.99,58693.26,19911.53,76.76
5007.92,58694.39,19912.44,76.76
6008.6,58694.88,19912.6,76.76
7009.26,58695.95,19913.52,76.77
8009.85,58696.4,19913.9,76.77
9010.44,58699.3,19916.32,76.77
10011.14,58701.59,19917.69,76.78
11011.7,58784.12,19941.76,76.88
12012.29,58823.54,19949.12,76.93
13012.92,58842.85,19967.5,76.96
14013.53,58843.43,19967.71,76.96
15014.11,58845.04,19968.73,76.97
16014.69,58845.35,19969.08,76.97
17015.28,58847.94,19971.26,76.97
18015.87,58849.01,19971.64,76.97
19016.46,58849.96,19972.42,76.97
20017.03,58852.49,19974.88,76.98
21018.0,58853.28,19975.66,76.98
22019.08,58854.67,19976.58,76.98
23020.09,58855.75,19977.41,76.99
