time,total,idle,mem_total,mem_free,29581/cpu,29581/rss,947/cpu,947/rss
1007.91,1643459,1566505,3887864,1536584,261,53128,764,91256
2009.7,1643852,1566877,3887864,1537432,262,53128,764,91256
3012.85,1644247,1567262,3887864,1537816,262,53128,764,91256
4014.14,1644644,1567616,3887864,1539920,263,53132,764,91256
5015.17,1645044,1568006,3887864,1539920,263,53132,765,91256
6017.32,1645444,1568401,3887864,1540284,263,53132,765,91256
7018.27,1645843,1568795,3887864,1540472,263,53132,765,91256
8019.24,1646240,1569180,3887864,1540336,263,53132,765,91256
9021.27,1646634,1569569,3887864,1540716,263,53132,765,91256
10023.38,1647034,1569957,3887864,1541036,264,53132,765,91256
11026.0,1647424,1570250,3887864,1529364,275,54000,766,91256
12027.28,1647814,1570534,3887864,1521812,277,54404,766,91256
13028.43,1648197,1570794,3887864,1495568,281,54540,766,91256
14029.55,1648592,1571166,3887864,1486508,281,54540,766,91256
15030.41,1648991,1571557,3887864,1486508,281,54540,766,91256
16032.39,1649386,1571950,3887864,1491832,281,54540,766,91256
17034.53,1649781,1572325,3887864,1493936,281,54540,766,91256
18035.63,1650182,1572699,3887864,1496652,282,54540,767,91256
19036.55,1650581,1573090,3887864,1498876,282,54540,767,91256
20037.96,1650979,1573484,3887864,1500656,282,54540,767,91256
21039.0,1651380,1573878,3887864,1500388,282,54540,767,91256
22040.05,1651779,1574267,3887864,1501200,282,54564,767,91256
23044.14,1652175,1574650,3887864,1502456,282,54564,767,91256
24046.96,1652566,1574923,3887864,1521428,284,54568,767,91256
