time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1008.94,1653539,1576154,3887864,1708036,13283,241580,32627,560300,116,79372,2131,65364,9053,124508,3550,111916
2010.41,1653936,1576540,3887864,1708320,13287,241580,32634,560300,116,79372,2131,65364,9054,124508,3550,111916
3011.91,1654335,1576935,3887864,1708568,13288,241580,32636,560300,116,79372,2131,65364,9055,124508,3550,111916
4013.46,1654730,1577327,3887864,1708788,13290,241580,32639,560300,116,79372,2131,65364,9056,124508,3551,111916
5014.97,1655126,1577716,3887864,1709292,13292,241580,32644,560300,116,79372,2132,65364,9058,124508,3551,111916
6018.88,1655524,1578103,3887864,1709456,13294,241580,32649,560300,116,79372,2132,65364,9060,124508,3552,111916
7022.94,1655919,1578486,3887864,1710172,13296,241580,32656,560300,116,79372,2133,65364,9062,124508,3552,111916
8026.5,1656315,1578862,3887864,1711880,13303,241580,32667,560300,116,79372,2133,65364,9065,124508,3553,111916
9029.95,1656714,1579235,3887864,1712584,13310,241580,32679,560300,116,79372,2134,65364,9067,124508,3554,111916
10033.55,1657108,1579603,3887864,1712276,13316,241580,32690,560300,116,79372,2134,65364,9070,124508,3555,111916
11035.49,1657496,1579840,3887864,1702180,13335,241580,32746,560312,116,79372,2136,65372,9077,124512,3555,111916
12038.32,1657879,1580200,3887864,1702876,13338,241580,32752,560312,116,79372,2136,65372,9078,124512,3555,111916
13041.45,1658275,1580547,3887864,1704312,13343,241580,32768,560320,116,79372,2137,65372,9082,124516,3556,111916
14043.15,1658670,1580932,3887864,1705616,13346,241580,32774,560320,116,79372,2137,65372,9084,124516,3556,111916
15044.77,1659065,1581320,3887864,1707416,13349,241580,32779,560320,116,79372,2137,65372,9085,124516,3557,111916
16048.78,1659463,1581704,3887864,1708076,13351,241580,32786,560320,116,79372,2138,65372,9088,124516,3557,111916
17053.03,1659861,1582087,3887864,1709108,13355,241580,32792,560324,116,79372,2138,65372,9090,124516,3558,111916
18056.81,1660256,1582470,3887864,1710224,13358,241580,32799,560324,116,79372,2139,65372,9093,124516,3558,111916
19061.02,1660651,1582843,3887864,1710976,13365,241580,32810,560324,116,79372,2139,65372,9096,124516,3559,111916
20064.7,1661046,1583220,3887864,1711788,13370,241580,32820,560324,116,79372,2140,65372,9098,124516,3561,111916
21066.47,1661443,1583587,3887864,1713208,13372,241580,32825,560324,116,79372,2141,65372,9101,124516,3561,111916
22068.1,1661842,1583980,3887864,1712984,13373,241580,32828,560324,116,79372,2141,65372,9102,124516,3561,111916
23069.72,1662240,1584373,3887864,1712984,13375,241580,32830,560324,116,79372,2141,65372,9103,124516,3561,111916
24071.35,1662637,1584765,3887864,1713168,13377,241580,32834,560324,116,79372,2141,65372,9104,124516,3561,111916
