time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1008.77,1899723,1808540,3887864,1662820,15834,254800,38766,581728,130,79372,2400,65492,10539,126568,3875,111820
2012.99,1900120,1808923,3887864,1663416,15838,254800,38772,581728,130,79372,2401,65492,10541,126568,3875,111820
3017.98,1900516,1809292,3887864,1657772,15841,254800,38779,581728,130,79372,2402,65492,10544,126568,3876,111820
4019.64,1900915,1809672,3887864,1660448,15844,254800,38784,581728,130,79372,2402,65492,10545,126568,3876,111820
5021.18,1901316,1810068,3887864,1660888,15844,254800,38786,581728,130,79372,2402,65492,10546,126568,3876,111820
6022.75,1901708,1810455,3887864,1661304,15848,254800,38791,581728,130,79372,2402,65492,10548,126568,3877,111820
7024.42,1902107,1810846,3887864,1661304,15850,254800,38796,581728,130,79372,2402,65492,10548,126568,3877,111820
8029.15,1902507,1811235,3887864,1661304,15853,254800,38800,581728,130,79372,2403,65492,10550,126568,3877,111820
9032.59,1902903,1811612,3887864,1661304,15858,254800,38810,581728,130,79372,2403,65492,10552,126568,3879,111820
10036.53,1903301,1811992,3887864,1654832,15862,254800,38817,581728,130,79372,2404,65492,10555,126568,3879,111820
11038.28,1903694,1812251,3887864,1659212,15881,254800,38870,581736,130,79372,2405,65492,10561,126568,3879,111820
12039.99,1904087,1812612,3887864,1659432,15884,254800,38876,581736,130,79372,2405,65492,10563,126568,3880,111820
13043.25,1904484,1812955,3887864,1659800,15890,254800,38892,581740,130,79372,2406,65492,10567,126568,3880,111820
14044.94,1904884,1813322,3887864,1657744,15894,254800,38899,581740,130,79372,2407,65492,10568,126568,3880,111820
15046.51,1905285,1813718,3887864,1658040,15894,254800,38901,581740,130,79372,2407,65492,10569,126568,3880,111820
16050.04,1905680,1814089,3887864,1661456,15902,254800,38912,581740,130,79372,2407,65492,10572,126568,3881,111820
17053.7,1906071,1814468,3887864,1660724,15906,254800,38917,581740,130,79372,2408,65492,10573,126568,3881,111820
18057.97,1906467,1814848,3887864,1660988,15910,254800,38925,581740,130,79372,2408,65492,10577,126568,3882,111820
19059.83,1906867,1815161,3887864,1661300,15914,254800,39004,581740,130,79372,2408,65492,10578,126568,3883,111820
20061.4,1907267,1815550,3887864,1661556,15915,254800,39009,581740,130,79372,2409,65520,10580,126568,3884,111820
21063.04,1907662,1815942,3887864,1662284,15917,254800,39011,581740,130,79372,2409,65520,10581,126568,3884,111820
22064.63,1908062,1816335,3887864,1662968,15918,254800,39014,581740,130,79372,2410,65520,10582,126568,3884,111820
23066.28,1908463,1816727,3887864,1662856,15919,254800,39019,581740,130,79372,2410,65520,10584,126568,3884,111820
24067.95,1908859,1817086,3887864,1659848,15923,254800,39026,581740,130,79372,2410,65520,10586,126568,3885,111820
