time,total,idle,mem_total,mem_free,29581/cpu,29581/rss,947/cpu,947/rss
1004.67,1903419,1809840,3887864,1523804,614,56692,884,91268
2007.1,1903815,1810220,3887864,1526204,614,56692,884,91268
3008.42,1904206,1810585,3887864,1526992,614,56692,884,91268
4009.28,1904605,1810981,3887864,1526992,614,56692,884,91268
5010.06,1905006,1811367,3887864,1526440,615,56692,884,91268
6010.93,1905407,1811756,3887864,1526816,615,56692,884,91268
7011.75,1905804,1812143,3887864,1527068,615,56692,884,91268
8013.48,1906203,1812530,3887864,1527848,615,56692,884,91268
9015.46,1906599,1812917,3887864,1528660,615,56692,885,91268
10017.56,1906994,1813303,3887864,1528452,615,56692,886,91268
11019.24,1907383,1813544,3887864,1515184,623,56696,886,91268
12020.3,1907766,1813879,3887864,1513140,623,56696,886,91268
13111.66,1908192,1814177,3887864,1483964,626,56696,886,91268
14112.66,1908588,1814567,3887864,1484080,626,56696,886,91268
15113.6,1908986,1814949,3887864,1487092,626,56696,886,91268
16115.06,1909382,1815330,3887864,1487100,627,56696,886,91268
17116.82,1909779,1815712,3887864,1487924,627,56696,886,91268
18118.81,1910170,1816084,3887864,1489516,627,56696,886,91268
19120.91,1910567,1816472,3887864,1490892,627,56696,887,91268
20123.3,1910965,1816847,3887864,1492052,628,56696,887,91268
21126.29,1911362,1817210,3887864,1493048,628,56696,887,91268
22130.29,1911760,1817592,3887864,1494140,629,56696,887,91268
23132.71,1912156,1817979,3887864,1495180,629,56696,887,91268
24133.87,1912552,1818349,3887864,1497136,629,56696,887,91268
25135.09,1912942,1818687,3887864,1510384,630,56696,888,91268
