time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,89760/cpu,89760/rss
1003.41,11551739,11315323,16370460,8358048,5819,110044,34820,71016,62110,554324,3121,65208,21653,126700,693,53816
2009.16,11552338,11315905,16370460,8358048,5821,110044,34826,71164,62115,554324,3121,65208,21655,126700,693,53816
3012.65,11552934,11316487,16370460,8358048,5821,110044,34828,71164,62118,554324,3122,65208,21657,126700,693,53816
4017.67,11553533,11317077,16370460,8358048,5821,110044,34830,71292,62121,554324,3122,65208,21657,126700,693,53816
5021.28,11554131,11317661,16370460,8351812,5821,110044,34832,71292,62125,554324,3122,65208,21659,126700,693,53816
6026.34,11554730,11318247,16370460,8351560,5821,110044,34834,71292,62130,554324,3122,65208,21660,126700,693,53816
7030.66,11555324,11318819,16370460,8348312,5821,110044,34835,71292,62133,554324,3122,65208,21661,126700,693,53816
8034.02,11555920,11319405,16370460,8348588,5822,110044,34838,71292,62137,554324,3122,65208,21663,126700,693,53816
9036.8,11556516,11319988,16370460,8358864,5822,110044,34840,71292,62140,554324,3122,65208,21664,126700,694,53816
10041.37,11557114,11320572,16370460,8354832,5823,110044,34842,71420,62144,554324,3123,65208,21665,126700,694,53816
11043.44,11557704,11321017,16370460,8293612,5823,110044,34852,70084,62153,554324,3124,65208,21667,126700,694,53816
12048.82,11558301,11321601,16370460,8291360,5823,110044,34855,70084,62156,554324,3124,65208,21669,126700,694,53816
13053.75,11558898,11322182,16370460,8281336,5823,110044,34856,70084,62160,554324,3124,65208,21669,126700,694,53816
14057.36,11559496,11322772,16370460,8288260,5823,110044,34859,70084,62163,554324,3124,65208,21670,126700,695,53816
15060.77,11560093,11323347,16370460,8282860,5823,110044,34860,70084,62167,554324,3124,65208,21674,126700,695,53816
16064.58,11560689,11323936,16370460,8283264,5825,110044,34862,70084,62170,554324,3124,65208,21675,126700,695,53816
17069.13,11561286,11324512,16370460,8264644,5825,110044,34864,71364,62174,554324,3124,65208,21676,126700,695,53816
18074.51,11561885,11325102,16370460,8264644,5825,110044,34866,71364,62177,554324,3124,65208,21678,126700,695,53816
19079.39,11562481,11325684,16370460,8273356,5825,110044,34868,71364,62182,554324,3124,65208,21679,126700,695,53816
20086.31,11563082,11326274,16370460,8274212,5825,110044,34869,71364,62184,554324,3124,65208,21680,126700,696,53816
21089.82,11563677,11326855,16370460,8271368,5826,110044,34871,71364,62188,554324,3125,65208,21681,126700,696,53816
