time,sent,received,total
3.14,543377.08,2170038.75,2649.82
1005.77,543388.14,2170052.16,2649.84
2010.16,543391.36,2170054.41,2649.85
3013.21,543400.81,2170068.26,2649.87
4017.39,543404.16,2170070.57,2649.88
5021.24,543414.15,2170084.77,2649.9
6025.2,543417.58,2170087.23,2649.91
7030.45,543426.92,2170101.08,2649.93
8036.28,543429.95,2170103.33,2649.93
9041.54,543439.75,2170117.52,2649.96
10045.42,543449.99,2170133.54,2649.98
11047.39,543465.54,2170431.19,2650.29
12051.26,543468.98,2170433.58,2650.29
13056.12,543479.18,2170447.97,2650.32
14059.31,543482.31,2170450.22,2650.32
15062.72,543492.38,2170464.42,2650.35
16065.58,543495.9,2170466.67,2650.35
17069.91,543505.64,2170480.87,2650.38
18073.26,543509.6,2170483.38,2650.38
19077.95,543519.33,2170497.65,2650.41
20083.1,543522.74,2170500.28,2650.41
21087.91,543526.56,2170503.0,2650.42
