time,sent,received,total
1.53,544636.38,2173260.95,2654.2
1003.03,544647.39,2173274.23,2654.22
2006.34,544650.86,2173276.68,2654.23
3009.8,544660.34,2173290.81,2654.25
4014.82,544663.78,2173293.39,2654.25
5019.83,544673.6,2173307.46,2654.28
6023.36,544676.74,2173309.77,2654.28
7026.31,544687.16,2173324.04,2654.31
8030.24,544690.63,2173326.42,2654.31
9033.28,544700.67,2173340.63,2654.34
10036.86,544710.17,2173354.49,2654.36
11038.33,544721.47,2173642.17,2654.65
12042.01,544730.92,2173645.33,2654.66
13048.89,544740.86,2173659.53,2654.69
14052.56,544744.19,2173661.92,2654.69
15056.1,544754.45,2173676.11,2654.72
16059.09,544757.93,2173678.76,2654.72
17063.23,544765.48,2173690.89,2654.74
18065.32,544771.27,2173695.34,2654.75
19069.8,544774.69,2173697.72,2654.76
20074.53,544784.53,2173712.05,2654.78
21078.81,544787.53,2173714.16,2654.79
22083.76,544797.64,2173728.43,2654.81
