time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,89760/cpu,89760/rss
1003.33,11816640,11571815,16370460,8303744,5958,110172,35870,75144,63934,584072,3200,65208,22210,131180,754,54072
2007.0,11817235,11572396,16370460,8299712,5959,110172,35871,75144,63937,584072,3200,65208,22211,131180,754,54072
3010.61,11817828,11572977,16370460,8293444,5959,110172,35874,75144,63941,584072,3200,65208,22212,131180,754,54072
4016.15,11818428,11573564,16370460,8295460,5959,110172,35876,75144,63946,584072,3200,65208,22214,131180,754,54072
5020.65,11819026,11574145,16370460,8299792,5959,110172,35878,75144,63949,584072,3200,65208,22216,131180,754,54072
6023.83,11819624,11574733,16370460,8300664,5960,110172,35881,75144,63953,584072,3200,65208,22216,131180,754,54072
7026.91,11820217,11575310,16370460,8304948,5960,110172,35883,75144,63957,584072,3201,65208,22218,131180,755,54072
8030.72,11820816,11575899,16370460,8304948,5961,110172,35884,75144,63960,584072,3201,65208,22219,131180,755,54072
9034.08,11821412,11576480,16370460,8302848,5962,110172,35886,75144,63965,584072,3201,65208,22221,131180,755,54072
10037.3,11822008,11577065,16370460,8291256,5962,110172,35888,75144,63969,584072,3201,65208,22221,131180,755,54072
11038.58,11822598,11577520,16370460,8255188,5962,110172,35896,73688,63978,584072,3201,65208,22224,131180,755,54072
12042.05,11823191,11578077,16370460,8251456,5962,110172,35900,73532,63983,584072,3202,65208,22225,131180,755,54072
13049.35,11823790,11578660,16370460,8237652,5962,110172,35901,73532,63986,584072,3202,65208,22227,131180,755,54072
14053.35,11824388,11579249,16370460,8237652,5962,110172,35902,73532,63989,584072,3202,65208,22228,131180,755,54072
15055.66,11824985,11579827,16370460,8238552,5963,110172,35905,73532,63994,584072,3202,65208,22229,131180,755,54072
16059.93,11825581,11580414,16370460,8238980,5964,110172,35907,73532,63997,584072,3203,65208,22231,131180,755,54072
17063.68,11826178,11580995,16370460,8236684,5964,110172,35909,73532,64001,584072,3203,65208,22231,131180,756,54072
18065.88,11826774,11581581,16370460,8252476,5965,110172,35911,73532,64005,584072,3203,65208,22233,131180,756,54072
19070.45,11827371,11582169,16370460,8252456,5965,110172,35913,73532,64009,584072,3203,65208,22235,131180,757,54072
20075.9,11827968,11582751,16370460,8248452,5965,110172,35915,73532,64013,584072,3203,65208,22235,131180,757,54072
21079.48,11828564,11583337,16370460,8248452,5965,110172,35917,73532,64018,584072,3203,65208,22237,131180,757,54072
22084.44,11829163,11583911,16370460,8235240,5965,110172,35919,73532,64021,584072,3203,65208,22238,131180,757,54072
