time,sent,received,total
3.73,505966.0,2119489.47,2563.92
1007.68,505968.4,2119491.08,2563.92
2010.83,505971.53,2119493.32,2563.93
3013.95,505975.08,2119495.71,2563.94
4018.46,505978.49,2119498.09,2563.94
5022.34,505981.84,2119500.33,2563.95
6026.62,505985.23,2119502.79,2563.95
7033.0,505988.84,2119505.24,2563.96
8037.3,505992.07,2119507.68,2563.96
9041.33,505995.61,2119510.18,2563.97
10045.6,506005.7,2119525.8,2564.0
11047.86,506012.57,2119529.74,2564.01
12051.9,506015.87,2119532.11,2564.01
13057.2,506018.78,2119534.29,2564.02
14060.17,506021.85,2119536.4,2564.02
15063.66,506025.3,2119538.78,2564.03
16067.04,506028.81,2119541.17,2564.03
17071.22,506032.26,2119543.56,2564.04
18074.75,506035.56,2119545.94,2564.04
19078.7,506038.97,2119548.33,2564.05
20081.55,506041.84,2119550.3,2564.05
21085.35,506045.17,2119552.55,2564.06
