time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,89760/cpu,89760/rss
1005.03,9446952,9270508,16370460,8324300,4736,109916,27524,78272,48628,626428,2547,65080,17381,130260,181,56628
2008.73,9447547,9271087,16370460,8326216,4737,109916,27526,78272,48632,626556,2547,65080,17382,130260,181,56628
3012.73,9448142,9271671,16370460,8326044,4737,109916,27528,77284,48637,626812,2547,65080,17384,130260,181,56628
4017.09,9448741,9272260,16370460,8326044,4738,109916,27530,77284,48640,626812,2547,65080,17385,130260,181,56628
5021.08,9449339,9272851,16370460,8326044,4738,109916,27533,77924,48644,626812,2547,65080,17386,130260,181,56628
6025.77,9449938,9273444,16370460,8326044,4738,109916,27534,77924,48646,626812,2547,65080,17387,130260,181,56628
7031.52,9450536,9274034,16370460,8326044,4739,109916,27535,77924,48650,626812,2547,65080,17388,130260,181,56628
8034.52,9451134,9274621,16370460,8325792,4739,109916,27536,77924,48652,626812,2548,65080,17389,130260,182,56628
9038.31,9451729,9275207,16370460,8325300,4739,109916,27538,77924,48656,626812,2549,65080,17391,130260,182,56628
10043.84,9452327,9275794,16370460,8313456,4740,109916,27539,78052,48659,626812,2549,65080,17391,130260,182,56628
11045.09,9452917,9276223,16370460,8224680,4741,109916,27550,75196,48687,633500,2549,65080,17394,130260,183,56628
12048.61,9453507,9276755,16370460,8260624,4741,109916,27555,75408,48693,633628,2549,65080,17395,130260,184,56756
13052.21,9454106,9277341,16370460,8263056,4741,109916,27558,75008,48697,633628,2549,65080,17396,130260,184,56756
14055.14,9454701,9277924,16370460,8264832,4741,109916,27558,75136,48700,633628,2550,65080,17397,130260,184,56756
15057.87,9455297,9278510,16370460,8267436,4741,109916,27561,75136,48704,633756,2550,65080,17399,130260,184,56756
16062.95,9455897,9279102,16370460,8269500,4742,109916,27561,75136,48707,633756,2550,65080,17400,130260,184,56756
17065.16,9456493,9279691,16370460,8273152,4742,109916,27562,75136,48710,633756,2550,65080,17401,130260,184,56756
18068.41,9457091,9280281,16370460,8276080,4742,109916,27564,75136,48713,633756,2550,65080,17403,130260,184,56756
19071.61,9457688,9280869,16370460,8278116,4742,109916,27566,75264,48716,633756,2550,65080,17403,130260,184,56756
20075.92,9458286,9281462,16370460,8278116,4742,109916,27567,75264,48718,633756,2550,65080,17405,130260,184,56756
21081.19,9458884,9282053,16370460,8278312,4743,109916,27568,75392,48721,633756,2551,65080,17405,130260,184,56756
22084.83,9459479,9282633,16370460,8277612,4743,109916,27573,75392,48724,633756,2551,65080,17406,130260,185,56756
