time,sent,received,total
2.55,506751.49,2120168.74,2565.35
1005.04,506754.03,2120170.47,2565.36
2012.36,506757.64,2120173.05,2565.36
3015.43,506761.03,2120175.43,2565.37
4019.05,506764.37,2120177.82,2565.37
5022.99,506767.99,2120180.27,2565.38
6028.33,506771.13,2120182.66,2565.38
7032.18,506774.68,2120185.24,2565.39
8035.52,506778.16,2120187.62,2565.4
9039.88,506781.56,2120189.94,2565.4
10043.23,506791.96,2120205.45,2565.43
11045.08,506797.81,2120208.76,2565.44
12048.13,506802.37,2120211.91,2565.44
13052.47,506805.86,2120214.3,2565.45
14056.91,506809.07,2120216.68,2565.45
15060.91,506812.03,2120218.93,2565.46
16066.11,506815.45,2120221.45,2565.46
17072.24,506818.92,2120223.83,2565.47
18077.19,506822.34,2120226.3,2565.48
19083.15,506824.95,2120228.13,2565.48
20089.12,506828.0,2120230.38,2565.49
21094.19,506831.42,2120232.76,2565.49
22098.9,506834.51,2120235.01,2565.5
