time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,89760/cpu,89760/rss
1005.05,9722541,9537682,16370460,8325048,4883,109916,28696,77916,50528,590876,2627,65080,17962,134612,268,56884
2009.46,9723139,9538271,16370460,8325048,4883,109916,28697,77916,50532,590876,2627,65080,17963,134612,268,56884
3012.95,9723736,9538863,16370460,8325048,4883,109916,28699,77916,50534,590876,2628,65080,17965,134612,269,56884
4018.75,9724335,9539453,16370460,8327240,4883,109916,28701,77916,50538,590876,2628,65080,17965,134612,269,56884
5022.9,9724935,9540044,16370460,8327016,4885,109916,28702,77916,50541,590876,2629,65080,17967,134612,269,56884
6027.37,9725530,9540632,16370460,8327016,4885,109916,28704,77916,50544,590876,2629,65080,17969,134612,269,56884
7030.86,9726130,9541220,16370460,8326764,4885,109916,28705,77916,50548,590876,2629,65080,17969,134612,269,56884
8035.02,9726727,9541806,16370460,8331152,4885,109916,28708,77916,50552,590876,2629,65080,17971,134612,269,56884
9039.65,9727324,9542386,16370460,8320064,4885,109916,28710,78044,50556,590876,2629,65080,17972,134612,270,56884
10040.61,9727918,9542966,16370460,8314048,4886,109916,28712,76384,50559,590876,2629,65080,17973,134612,270,56884
11043.93,9728506,9543414,16370460,8269996,4886,109916,28728,75996,50574,590876,2629,65080,17976,134868,271,56884
12046.83,9729099,9543954,16370460,8291116,4887,109916,28732,75824,50582,590876,2629,65080,17977,134868,272,56884
13052.11,9729695,9544543,16370460,8290396,4887,109916,28733,75824,50585,590876,2629,65080,17979,134868,272,56884
14056.13,9730293,9545133,16370460,8290144,4887,109916,28734,75824,50587,590876,2629,65080,17980,134868,272,56884
15060.85,9730891,9545721,16370460,8301260,4887,109916,28735,75824,50591,590876,2630,65080,17981,134868,272,56884
16066.55,9731489,9546310,16370460,8302384,4888,109916,28737,75952,50594,590876,2631,65080,17983,134868,272,56884
17070.52,9732087,9546897,16370460,8303808,4888,109916,28740,75952,50599,590876,2631,65080,17984,134868,272,56884
18075.73,9732685,9547485,16370460,8303892,4888,109916,28743,75952,50602,590876,2631,65080,17985,134868,272,56884
19079.38,9733282,9548071,16370460,8304368,4888,109916,28745,75952,50605,590876,2631,65080,17987,134868,272,56884
20084.35,9733876,9548652,16370460,8282696,4890,109916,28747,76172,50609,590876,2631,65080,17987,134868,273,56884
21088.61,9734475,9549242,16370460,8283716,4890,109916,28749,76172,50613,590876,2631,65080,17989,134868,273,56884
22092.59,9735072,9549830,16370460,8286488,4890,109916,28751,76300,50615,590876,2631,65080,17990,134868,273,56884
