time,total,idle,mem_total,mem_free,2468/cpu,2468/rss,91378/cpu,91378/rss
1004.09,8032841,7517529,3887864,207104,269772,990116,1332,54296
2007.74,8033243,7517903,3887864,208164,269786,990132,1332,54296
3009.24,8033638,7518252,3887864,203984,269800,990144,1333,54296
4010.14,8034035,7518639,3887864,204404,269806,990144,1333,54296
5011.75,8034430,7518915,3887864,210448,269896,990144,1333,54296
6012.95,8034827,7519301,3887864,211660,269905,990148,1333,54296
7014.04,8035226,7519672,3887864,198872,269916,990156,1333,54296
8015.92,8035624,7520045,3887864,197608,269927,990172,1333,54296
9017.96,8036022,7520419,3887864,198160,269944,990172,1334,54296
10019.14,8036419,7520750,3887864,195056,269956,990176,1334,54296
11020.16,8036809,7520975,3887864,192340,270017,989544,1335,54296
12026.1,8037203,7521174,3887864,169148,270038,989576,1335,54296
13027.04,8037599,7521283,3887864,126660,270078,989892,1335,54296
14027.88,8037994,7521644,3887864,113364,270087,989892,1335,54296
15029.76,8038389,7522024,3887864,115636,270099,989892,1336,54296
16030.98,8038777,7522378,3887864,110392,270114,989892,1336,54296
17032.13,8039175,7522755,3887864,116928,270123,989892,1336,54296
18033.12,8039574,7523146,3887864,120208,270127,989892,1336,54296
19033.98,8039974,7523507,3887864,131312,270138,989892,1337,54296
20034.88,8040370,7523880,3887864,138460,270144,989892,1337,54296
21036.63,8040770,7524231,3887864,141552,270161,989892,1337,54296
22038.58,8041162,7524586,3887864,141564,270174,989892,1337,54296
23039.57,8041558,7524932,3887864,140628,270193,989892,1337,54296
24040.44,8041956,7525321,3887864,140764,270198,989892,1337,54296
