time,total,idle,mem_total,mem_free,2468/cpu,2468/rss,91378/cpu,91378/rss
1006.76,8143551,7613820,3887864,191572,274475,1009632,1396,54316
2007.66,8143945,7614166,3887864,187536,274488,1009636,1396,54316
3008.45,8144341,7614553,3887864,187536,274496,1009672,1397,54316
4009.25,8144745,7614913,3887864,185488,274506,1009692,1397,54316
5010.07,8145141,7615303,3887864,187160,274513,1009704,1397,54316
6011.17,8145544,7615686,3887864,187616,274522,1009736,1397,54316
7012.88,8145938,7616027,3887864,198624,274536,1008340,1397,54316
8014.38,8146333,7616396,3887864,198376,274555,1008340,1397,54316
9015.31,8146730,7616755,3887864,198832,274564,1008340,1398,54316
10016.53,8147128,7617143,3887864,197228,274570,1008340,1398,54316
11018.7,8147522,7617346,3887864,188472,274640,1007680,1398,54316
12019.85,8147908,7617580,3887864,162944,274671,1007780,1398,54316
13020.86,8148299,7617764,3887864,137620,274688,1007808,1400,54316
14022.88,8148695,7618140,3887864,137372,274701,1007840,1400,54316
15024.84,8149090,7618505,3887864,134844,274715,1007848,1400,54316
16025.85,8149482,7618870,3887864,140248,274724,1007848,1400,54316
17026.77,8149876,7619238,3887864,138252,274735,1007848,1400,54316
18027.86,8150269,7619588,3887864,141728,274748,1007848,1400,54316
19028.82,8150669,7619976,3887864,141476,274757,1007848,1401,54316
20029.7,8151062,7620337,3887864,146848,274766,1007848,1401,54316
21031.79,8151455,7620715,3887864,147412,274780,1007848,1401,54316
22032.79,8151850,7621058,3887864,149988,274794,1007848,1401,54316
23033.69,8152247,7621443,3887864,149432,274804,1007880,1401,54316
