time,total,idle,mem_total,mem_free,2559/cpu,2559/rss
1006.82,8206099,7921966,3887864,837420,72132,186884
2008.59,8206496,7922358,3887864,837128,72134,186884
3009.36,8206893,7922725,3887864,837244,72139,186884
4009.99,8207291,7923121,3887864,837632,72141,186884
5010.64,8207690,7923517,3887864,838632,72142,186884
6016.19,8208093,7923913,3887864,838400,72144,186884
7016.96,8208491,7924310,3887864,838152,72146,186884
8018.02,8208888,7924685,3887864,838404,72153,186884
9019.22,8209289,7925071,3887864,837476,72158,186884
10020.75,8209687,7925464,3887864,837728,72161,186884
11021.75,8210082,7925796,3887864,829860,72169,186884
12023.26,8210473,7926164,3887864,831236,72172,186884
13024.03,8210859,7926512,3887864,831960,72177,186884
14024.66,8211259,7926908,3887864,831712,72179,186884
15025.32,8211661,7927305,3887864,831272,72180,186884
16026.71,8212061,7927702,3887864,832268,72181,186884
17028.24,8212461,7928094,3887864,833300,72185,186884
18029.5,8212852,7928464,3887864,833156,72195,186884
19031.0,8213250,7928856,3887864,833844,72199,186884
20032.08,8213649,7929239,3887864,833844,72212,186884
21033.66,8214045,7929625,3887864,833604,72216,186888
22035.15,8214444,7930017,3887864,834112,72220,186888
23035.93,8214840,7930378,3887864,833516,72225,186888
24036.58,8215238,7930728,3887864,827156,72231,186888
