time,total,idle,mem_total,mem_free,2559/cpu,2559/rss
1006.84,7197475,6959663,3887864,908492,61764,187036
2055.33,7197889,6960072,3887864,908728,61767,187036
3056.31,7198291,6960442,3887864,904952,61770,187036
4057.03,7198692,6960840,3887864,905000,61771,187036
5057.85,7199089,6961232,3887864,908176,61774,187036
6058.64,7199488,6961629,3887864,907924,61776,187036
7059.45,7199885,6962026,3887864,909012,61776,187036
8061.04,7200285,6962416,3887864,909084,61781,187036
9062.74,7200685,6962807,3887864,909084,61784,187036
10064.58,7201085,6963192,3887864,909528,61789,187036
11065.6,7201470,6963473,3887864,898600,61810,187100
12071.32,7201862,6963822,3887864,900144,61813,187100
13072.22,7202255,6964116,3887864,872820,61820,187100
14073.0,7202646,6964473,3887864,872908,61826,187100
15073.85,7203043,6964859,3887864,875012,61829,187100
16075.53,7203440,6965252,3887864,877880,61831,187100
17077.15,7203841,6965642,3887864,878056,61835,187100
18078.85,7204238,6966024,3887864,878572,61840,187100
19080.46,7204635,6966415,3887864,881316,61844,187100
20082.18,7205032,6966798,3887864,882840,61847,187100
21083.86,7205430,6967185,3887864,883596,61853,187100
22085.56,7205830,6967577,3887864,884352,61856,187100
23086.54,7206224,6967946,3887864,877904,61858,187100
24087.4,7206622,6968342,3887864,877904,61860,187100
25088.64,7207012,6968676,3887864,891948,61868,187100
