time,total,idle,mem_total,mem_free,2468/cpu,2468/rss,91378/cpu,91378/rss
1002.85,7232683,6785697,3887864,147948,238650,1053488,663,57424
2005.63,7233081,6786074,3887864,146452,238660,1054312,664,57424
3007.69,7233476,6786447,3887864,146228,238673,1054448,664,57424
4009.69,7233871,6786827,3887864,146228,238686,1054564,664,57424
5012.42,7234269,6787201,3887864,146228,238699,1054796,664,57424
6014.82,7234665,6787570,3887864,145976,238722,1055124,665,57424
7017.05,7235058,6787946,3887864,145724,238732,1055316,666,57424
8019.24,7235458,6788320,3887864,145724,238753,1055536,666,57424
9021.34,7235851,6788682,3887864,145472,238776,1056568,666,57424
10023.44,7236244,6789051,3887864,142524,238793,1056912,666,57424
11024.6,7236634,6789216,3887864,131028,238915,1062796,674,57440
12025.59,7237030,6789583,3887864,131148,238927,1063300,674,57440
13027.15,7237422,6789948,3887864,131168,238935,1063564,674,57440
14028.27,7237820,6790268,3887864,130352,238974,1066884,677,57440
15029.5,7238219,6790646,3887864,130352,238981,1067128,677,57440
16031.1,7238615,6791017,3887864,130656,239001,1067456,677,57440
17033.45,7239009,6791399,3887864,131280,239011,1067596,677,57440
18035.51,7239408,6791776,3887864,132280,239028,1067880,678,57440
19037.32,7239804,6792143,3887864,133352,239049,1068292,678,57440
20039.11,7240202,6792523,3887864,133668,239062,1068508,678,57440
21040.63,7240597,6792873,3887864,123548,239081,1068848,679,57440
22041.66,7240996,6793263,3887864,130056,239087,1069204,679,57440
23042.62,7241395,6793651,3887864,129936,239093,1069436,679,57440
24043.6,7241795,6794038,3887864,130480,239100,1070036,679,57440
