time,sent,received,total
1.67,94437.97,816445.49,889.53
1002.39,94438.56,816446.02,889.54
2003.18,94438.85,816446.44,889.54
3004.66,94439.1,816446.63,889.54
4006.14,94439.1,816446.69,889.54
5007.86,94439.29,816447.29,889.54
6009.24,94441.5,816448.66,889.54
7010.55,94443.5,816451.03,889.54
8011.47,94443.56,816451.14,889.54
9012.11,94443.69,816451.65,889.55
10012.76,94445.25,816452.49,889.55
11013.66,94485.41,816703.54,889.83
12014.39,94512.92,816725.29,889.88
13015.35,94538.44,816746.21,889.93
14016.1,94567.57,816797.79,890.0
15016.74,94571.25,816799.61,890.01
16017.36,94572.08,816800.39,890.01
17017.98,94572.24,816800.52,890.01
18018.61,94572.3,816800.79,890.01
19019.71,94572.3,816800.84,890.01
20020.93,94572.56,816801.04,890.01
21021.94,94572.75,816801.68,890.01
22023.08,94575.55,816804.46,890.02
23024.39,94575.68,816804.9,890.02
24025.62,94575.74,816805.13,890.02
25026.4,94588.2,816874.44,890.1
