time,sent,received,total
1.24,102489.02,497753.42,586.17
1002.15,102489.45,497753.68,586.17
2002.87,102490.23,497754.01,586.18
3003.98,102490.54,497754.34,586.18
4007.92,102490.85,497754.58,586.18
5008.33,102491.25,497754.79,586.18
6008.96,102493.92,497758.62,586.18
7009.7,102493.92,497758.68,586.18
8010.51,102494.77,497759.59,586.19
9011.84,102494.98,497759.7,586.19
10013.05,102495.11,497759.89,586.19
11014.24,102747.77,497788.99,586.46
12014.83,102773.96,497812.75,586.51
13015.53,102826.72,497836.34,586.58
14016.2,102828.09,497836.95,586.59
15016.86,102830.68,497838.53,586.59
16017.87,102832.15,497841.9,586.6
17020.04,102832.95,497842.11,586.6
18021.18,102833.19,497842.34,586.6
19022.3,102858.17,497845.73,586.62
20023.48,102877.42,497848.9,586.65
21024.66,102879.24,497850.5,586.65
22025.81,102879.24,497850.56,586.65
23026.88,102879.33,497850.75,586.65
24027.63,102879.33,497850.81,586.65
