time,sent,received,total
3.04,103622.83,498033.76,587.55
1004.42,103623.45,498034.03,587.56
2005.88,103625.29,498035.7,587.56
3006.96,103625.77,498035.92,587.56
4007.71,103626.0,498037.31,587.56
5008.38,103626.5,498037.42,587.56
6009.04,103626.94,498037.62,587.56
7009.83,103627.13,498038.0,587.56
8010.49,103627.79,498038.25,587.56
9011.51,103628.28,498038.54,587.56
10012.39,103631.97,498041.97,587.57
11013.03,103881.71,498069.82,587.84
12013.76,103913.64,498100.7,587.9
13016.27,103935.39,498121.95,587.95
14017.0,103960.69,498146.33,588.0
15017.8,103964.74,498149.65,588.0
16018.78,103995.38,498177.83,588.06
17020.81,104050.95,498204.46,588.14
18021.58,104054.93,498207.31,588.15
19022.37,104055.74,498208.94,588.15
20023.09,104057.51,498210.47,588.15
21024.11,104058.03,498210.76,588.15
22025.28,104058.24,498210.95,588.15
23026.45,104058.6,498211.11,588.15
24027.58,104059.29,498211.56,588.15
25028.52,104062.86,498215.93,588.16
26029.17,104064.86,498217.39,588.17
27029.82,104065.35,498217.8,588.17
28030.52,104065.48,498217.8,588.17
