time,total,idle,mem_total,mem_free,2468/cpu,2468/rss,91378/cpu,91378/rss
1006.17,7288238,6837085,3887864,126980,241227,1069152,730,57536
2008.08,7288634,6837466,3887864,127552,241241,1069148,730,57536
3009.79,7289028,6837836,3887864,127844,241257,1069148,731,57536
4010.69,7289424,6838196,3887864,130756,241269,1069148,731,57536
5011.49,7289822,6838583,3887864,130756,241276,1069148,731,57536
6012.36,7290220,6838975,3887864,130756,241281,1069148,731,57536
7014.07,7290617,6839360,3887864,130536,241290,1069324,732,57536
8015.2,7291018,6839752,3887864,130536,241296,1069332,732,57536
9017.01,7291414,6840136,3887864,130612,241306,1069340,733,57536
10018.25,7291815,6840507,3887864,128172,241323,1069488,733,57536
11019.18,7292201,6840729,3887864,128508,241433,1069276,739,57536
12021.25,7292594,6841092,3887864,128564,241442,1071064,739,57536
13022.16,7292988,6841459,3887864,128084,241450,1071064,739,57536
14023.08,7293382,6841812,3887864,125664,241458,1071060,739,57536
15026.01,7293783,6842184,3887864,125708,241468,1071064,740,57536
16027.53,7294169,6842523,3887864,125456,241487,1071064,740,57536
17029.79,7294558,6842822,3887864,126344,241532,1069276,741,57536
18030.79,7294959,6843203,3887864,126444,241543,1069276,742,57536
19031.8,7295352,6843585,3887864,126476,241554,1069276,742,57536
20032.75,7295750,6843973,3887864,127132,241561,1069276,742,57536
21033.72,7296152,6844360,3887864,127744,241569,1069276,743,57536
22035.55,7296553,6844752,3887864,127772,241574,1069276,743,57536
23037.64,7296951,6845122,3887864,128944,241591,1069276,744,57536
24039.64,7297348,6845499,3887864,129616,241602,1069300,744,57536
25040.83,7297742,6845853,3887864,127620,241616,1069320,744,57536
26041.82,7298138,6846237,3887864,127940,241629,1069364,744,57536
27042.82,7298536,6846624,3887864,127952,241637,1069368,744,57536
28043.82,7298937,6847017,3887864,128544,241643,1069368,744,57536
