time,total,idle,mem_total,mem_free,2559/cpu,2559/rss
1007.08,7323542,7079281,3887864,901388,63217,186092
2008.67,7323940,7079666,3887864,901664,63221,186092
3009.43,7324333,7080037,3887864,898760,63224,186092
4010.06,7324733,7080434,3887864,899476,63225,186092
5010.76,7325131,7080831,3887864,899728,63226,186092
6012.6,7325530,7081227,3887864,899480,63227,186092
7013.3,7325930,7081621,3887864,899732,63230,186092
8014.67,7326323,7082003,3887864,900068,63236,186092
9016.19,7326720,7082385,3887864,900764,63250,184620
10018.26,7327119,7082771,3887864,900784,63256,184980
11022.03,7327506,7083055,3887864,891496,63270,185132
12022.8,7327900,7083398,3887864,891888,63274,185132
13023.68,7328291,7083718,3887864,886480,63280,185132
14024.84,7328690,7084072,3887864,870228,63284,185132
15025.55,7329088,7084439,3887864,870484,63289,185364
16026.81,7329485,7084828,3887864,870324,63292,185596
17028.13,7329879,7085214,3887864,871160,63295,185596
18029.5,7330276,7085596,3887864,872232,63302,185596
19035.11,7330674,7085989,3887864,873116,63304,185596
20036.6,7331073,7086382,3887864,873852,63308,185596
21037.93,7331472,7086755,3887864,874252,63323,185404
22039.52,7331867,7087137,3887864,874624,63329,185404
23040.41,7332267,7087497,3887864,876896,63336,185404
24041.11,7332667,7087892,3887864,876904,63338,185404
25041.74,7333066,7088287,3887864,877004,63339,185404
26042.55,7333459,7088626,3887864,891144,63345,185404
