time,sent,received,total
1.88,95826.88,821093.19,895.43
1002.68,95827.43,821093.64,895.43
2003.51,95827.43,821093.64,895.43
3004.21,95827.62,821094.24,895.43
4005.6,95827.96,821094.52,895.43
5006.96,95828.27,821094.92,895.43
6008.14,95828.69,821095.78,895.43
7009.55,95829.45,821096.39,895.43
8010.82,95833.11,821098.8,895.44
9011.56,95833.11,821098.91,895.44
10012.18,95833.31,821099.54,895.44
11012.86,95866.51,821346.44,895.71
12013.6,95897.58,821372.41,895.77
13014.28,95931.4,821426.62,895.86
14015.33,95935.04,821430.22,895.86
15016.48,95935.29,821430.41,895.86
16017.69,95937.23,821433.93,895.87
17018.89,95937.55,821434.26,895.87
18020.11,95938.95,821435.64,895.87
19020.99,95939.33,821436.23,895.87
20021.69,95939.46,821436.66,895.88
21022.34,95939.68,821436.97,895.88
22022.97,95939.81,821437.36,895.88
23023.6,95942.89,821439.14,895.88
24024.57,95942.95,821439.37,895.88
25025.41,95957.77,821537.85,895.99
