time,total,idle,mem_total,mem_free,113608/cpu,113608/rss,114374/cpu,114374/rss
1006.68,10621264,10424552,16370456,8917408,442,55660,18235,801604
2011.84,10621863,10425143,16370456,8917168,442,55660,18242,801604
3017.26,10622463,10425735,16370456,8917168,443,55660,18248,800488
4022.43,10623061,10426325,16370456,8917168,443,55660,18255,800488
5027.89,10623662,10426913,16370456,8916916,443,55660,18264,800488
6033.0,10624258,10427503,16370456,8916916,443,55660,18271,800488
7037.65,10624857,10428093,16370456,8923764,443,55660,18277,800488
8043.08,10625456,10428684,16370456,8923672,443,55660,18284,800488
9049.2,10626056,10429272,16370456,8930980,443,55660,18290,800488
10055.83,10626655,10429856,16370456,8922252,443,55660,18296,800488
11058.79,10627244,10430367,16370456,8931544,443,55660,18311,797792
12061.3,10627838,10430918,16370456,8929068,444,55660,18316,797792
13068.31,10628432,10431471,16370456,8929068,444,55660,18322,797792
14071.59,10629024,10432018,16370456,8926632,444,55660,18326,797792
15073.78,10629612,10432559,16370456,8925416,444,55660,18333,797792
16076.85,10630201,10433100,16370456,8907296,445,55660,18338,797792
17079.61,10630789,10433638,16370456,8886120,445,55660,18343,797792
18083.12,10631381,10434180,16370456,8863016,445,55660,18348,797792
19087.12,10631968,10434637,16370456,8731952,445,55660,18354,797792
20089.41,10632560,10435183,16370456,8708980,445,55660,18359,797792
21091.4,10633145,10435615,16370456,8544412,445,55660,18363,797792
22094.65,10633732,10436068,16370456,8392412,445,55660,18372,797756
23100.68,10634334,10436661,16370456,8392172,445,55660,18377,797756
24105.74,10634932,10437252,16370456,8391932,445,55660,18383,797756
25110.72,10635532,10437843,16370456,8392724,445,55660,18390,797756
26116.07,10636126,10438163,16370456,8040988,445,55660,18420,798492
27120.69,10636723,10438723,16370456,8044020,445,55660,18435,797612
28122.9,10637320,10439312,16370456,8044020,445,55660,18442,797612
29126.52,10637916,10439895,16370456,8044020,445,55660,18448,797612
30131.23,10638516,10440484,16370456,8058048,447,55660,18455,797612
31135.39,10639113,10441074,16370456,8073448,447,55660,18461,797612
32138.34,10639710,10441662,16370456,8073448,447,55660,18466,797612
