time,total,idle,mem_total,mem_free,113608/cpu,113608/rss,114374/cpu,114374/rss
1003.7,10817858,10615214,16370456,8467224,489,55660,20818,794212
2010.57,10818459,10615807,16370456,8467224,490,55660,20825,794212
3015.5,10819059,10616395,16370456,8467224,490,55660,20832,794212
4025.07,10819659,10616988,16370456,8467224,490,55660,20839,794212
5028.34,10820257,10617577,16370456,8467224,490,55660,20846,794212
6031.83,10820856,10618163,16370456,8465952,491,55660,20852,794212
7038.4,10821457,10618752,16370456,8466208,491,55660,20860,794212
8042.05,10822058,10619344,16370456,8466208,491,55660,20866,794212
9046.49,10822658,10619933,16370456,8466208,492,55660,20873,794212
10051.25,10823256,10620518,16370456,8456380,492,55660,20877,794212
11053.82,10823847,10620990,16370456,8421936,492,55660,20895,794076
12055.97,10824442,10621565,16370456,8437372,492,55660,20903,794064
13060.54,10825043,10622154,16370456,8436396,492,55660,20911,794064
14064.29,10825640,10622745,16370456,8436396,492,55660,20917,794064
15067.76,10826238,10623332,16370456,8437260,492,55660,20926,794192
16071.39,10826836,10623918,16370456,8429944,492,55660,20931,794320
17075.14,10827435,10624509,16370456,8429944,493,55660,20937,794320
18079.03,10828032,10625101,16370456,8429944,493,55660,20943,794320
19083.85,10828631,10625689,16370456,8429692,493,55660,20951,794320
20089.44,10829230,10626279,16370456,8429212,493,55660,20958,794320
21092.86,10829828,10626870,16370456,8430512,493,55660,20965,794320
22097.33,10830427,10627459,16370456,8430036,494,55660,20971,794320
