time,total,idle,mem_total,mem_free,113608/cpu,113608/rss,114374/cpu,114374/rss
1004.66,10082236,9896285,16370456,8942344,287,58160,11308,770576
2008.81,10082836,9896871,16370456,8936044,287,58160,11314,770576
3013.25,10083434,9897463,16370456,8936044,287,58160,11320,770576
4016.69,10084033,9898055,16370456,8936044,287,58160,11327,770576
5020.74,10084631,9898646,16370456,8935796,287,58160,11333,770576
6025.88,10085230,9899237,16370456,8936064,287,58160,11340,770576
7029.07,10085828,9899828,16370456,8936316,288,58160,11347,770576
8034.55,10086426,9900415,16370456,8936316,289,58160,11356,770496
9041.03,10087024,9901004,16370456,8936316,289,58160,11365,771648
10048.48,10087622,9901579,16370456,8939932,289,58160,11373,771776
11051.76,10088210,9902051,16370456,8920456,290,58160,11404,769292
12054.93,10088805,9902607,16370456,8917556,291,58160,11416,769548
13057.64,10089403,9903197,16370456,8917492,291,58160,11423,769548
14062.73,10090000,9903787,16370456,8919312,291,58160,11429,769548
15067.35,10090599,9904377,16370456,8919440,291,58160,11435,769676
16074.6,10091199,9904969,16370456,8919440,291,58160,11441,769676
17078.17,10091795,9905559,16370456,8919216,291,58160,11447,769804
18085.45,10092395,9906152,16370456,8919216,291,58160,11454,769804
19087.95,10092992,9906741,16370456,8918968,292,58160,11462,769804
20090.36,10093588,9907309,16370456,8918728,292,58160,11489,769804
21094.72,10094186,9907897,16370456,8925208,292,58160,11497,769804
22099.59,10094785,9908482,16370456,8914628,292,58160,11503,769804
