time,total,idle,mem_total,mem_free,113608/cpu,113608/rss,114374/cpu,114374/rss
1003.11,10233901,10044280,16370456,8917736,337,59056,13436,789544
2006.44,10234501,10044873,16370456,8917484,337,59056,13440,789544
3010.2,10235102,10045456,16370456,8936068,338,59056,13447,789544
4014.08,10235700,10046047,16370456,8935980,338,59056,13455,789672
5018.3,10236299,10046636,16370456,8935740,338,59056,13463,789672
6023.67,10236896,10047230,16370456,8935500,338,59056,13468,789672
7030.19,10237497,10047822,16370456,8935248,338,59056,13476,791080
8034.04,10238095,10048413,16370456,8934996,338,59056,13481,791080
9038.52,10238694,10049005,16370456,8934996,339,59056,13487,791080
10042.66,10239293,10049592,16370456,8920380,339,59056,13492,791080
11045.81,10239882,10050078,16370456,8901760,340,59056,13518,789568
12049.06,10240479,10050641,16370456,8906600,341,59056,13529,789540
13052.63,10241078,10051233,16370456,8906360,341,59056,13535,789540
14056.41,10241677,10051818,16370456,8903364,341,59056,13542,789540
15061.49,10242276,10052407,16370456,8903364,341,59056,13549,789540
16066.76,10242875,10052998,16370456,8902692,341,59056,13556,789540
17071.21,10243474,10053590,16370456,8902692,341,59056,13561,789540
18076.05,10244074,10054179,16370456,8902692,341,59056,13569,789540
19079.58,10244672,10054770,16370456,8902692,341,59056,13575,789540
20083.45,10245271,10055361,16370456,8902692,341,59056,13582,789540
21088.95,10245868,10055951,16370456,8902692,341,59056,13588,789540
22094.05,10246468,10056545,16370456,8902452,342,59056,13594,789540
