time,sent,received,total
2.62,462.8,2038.52,2.44
1003.13,463.42,2038.96,2.44
2004.19,464.03,2039.33,2.44
3005.65,465.75,2044.63,2.45
4006.57,465.75,2044.69,2.45
5007.47,466.87,2048.88,2.46
6008.48,468.91,2050.47,2.46
7009.19,470.35,2051.71,2.46
8009.8,470.92,2052.89,2.46
9010.38,471.11,2053.08,2.46
10010.96,471.3,2053.14,2.46
11011.52,473.31,2066.66,2.48
12012.4,478.11,2083.74,2.5
13013.08,480.01,2093.12,2.51
14013.97,494.55,2408.03,2.83
15014.68,496.0,2409.14,2.84
16015.27,496.83,2413.33,2.84
17081.67,496.83,2413.39,2.84
18082.65,500.11,2419.96,2.85
19083.74,501.23,2424.15,2.86
20084.69,501.23,2424.26,2.86
21085.84,501.23,2424.32,2.86
22086.85,501.23,2424.38,2.86
23087.91,503.59,2431.21,2.87
24089.05,503.59,2431.26,2.87
25090.2,503.59,2431.32,2.87
26091.08,509.27,2456.56,2.9
