time,total,idle,mem_total,mem_free,1426/cpu,1426/rss,1477/cpu,1477/rss,1479/cpu,1479/rss,1492/cpu,1492/rss,2514/cpu,2514/rss,3193/cpu,3193/rss,4254/cpu,4254/rss
1010.72,137226,113426,3887864,1008928,2441,136100,1418,126812,6252,561252,1070,70028,64,44440,407,54144,198,83972
2013.98,137618,113766,3887864,1010068,2448,136104,1421,126812,6265,561252,1074,70028,64,44440,407,54144,199,83984
3017.98,138010,114112,3887864,1010364,2455,136104,1423,126812,6279,561252,1078,70048,65,44448,407,54144,199,83984
4024.29,138399,114460,3887864,1010524,2463,136108,1425,126812,6292,561256,1081,70064,65,44448,407,54144,200,83984
5028.48,138790,114798,3887864,1010644,2470,136108,1428,126812,6304,561256,1084,70072,65,44448,408,54144,201,83984
6032.46,139190,115156,3887864,1010744,2476,136108,1431,126812,6316,561260,1087,70076,65,44448,408,54144,201,83984
7036.83,139582,115506,3887864,1010744,2482,136108,1435,126812,6328,561260,1090,70076,65,44448,409,54144,201,83984
8040.51,139975,115865,3887864,1010996,2488,136108,1438,126812,6339,561260,1093,70076,65,44448,409,54144,202,83984
9044.42,140368,116209,3887864,1010756,2496,136108,1442,126812,6356,561260,1096,70076,65,44448,409,54144,202,83984
10050.96,140760,116540,3887864,1009092,2505,136108,1447,126812,6371,561260,1101,70084,65,44448,410,54144,202,83984
11056.15,141149,116745,3887864,996556,2521,136108,1454,126816,6409,561284,1104,70088,65,44448,410,54144,205,84000
12058.18,141542,117045,3887864,996884,2527,136108,1457,126816,6419,561288,1106,70092,65,44452,410,54144,207,84024
13063.24,141930,117304,3887864,998144,2533,136108,1462,126820,6434,561288,1107,70092,66,44472,411,54144,207,84024
14065.73,142328,117623,3887864,998580,2538,136108,1465,126820,6449,561288,1110,70092,66,44484,411,54144,209,84056
15068.8,142724,117983,3887864,999424,2542,136108,1467,126820,6458,561288,1111,70092,66,44484,411,54144,209,84060
16073.04,143117,118334,3887864,1000640,2548,136108,1469,126820,6468,561288,1114,70092,66,44484,411,54144,209,84060
17076.48,143516,118693,3887864,1001796,2554,136108,1474,126820,6480,561288,1116,70092,66,44484,412,54144,209,84060
18080.8,143912,119055,3887864,1003860,2557,136108,1477,126820,6491,561288,1120,70092,66,44484,412,54144,210,84060
19083.95,144301,119398,3887864,1005536,2566,136108,1480,126820,6505,561288,1122,70092,66,44484,412,54144,211,84060
20087.36,144694,119746,3887864,1007208,2574,136108,1482,126820,6518,561288,1128,70092,66,44484,412,54144,211,84060
21091.64,145085,120100,3887864,1008764,2582,136108,1485,126820,6529,561292,1131,70096,66,44484,413,54144,212,84060
22094.07,145478,120452,3887864,1009840,2587,136108,1487,126820,6539,561292,1134,70096,66,44484,413,54144,212,84060
23096.1,145877,120825,3887864,1010184,2590,136108,1488,126820,6547,561292,1135,70100,66,44512,413,54144,212,84064
24097.95,146279,121196,3887864,1010236,2594,136108,1490,126820,6553,561292,1136,70104,66,44512,413,54144,212,84064
25100.03,146675,121558,3887864,1010592,2597,136108,1491,126820,6560,561292,1138,70108,66,44512,413,54144,213,84064
