time,sent,received,total
1.46,2336.34,900.75,3.16
1002.13,2336.55,900.96,3.16
2002.77,2336.55,901.02,3.16
3003.49,2356.24,906.12,3.19
4004.34,2356.24,906.18,3.19
5005.32,2356.24,906.24,3.19
6006.42,2356.61,906.43,3.19
7007.58,2357.83,907.57,3.19
8008.65,2360.1,909.29,3.19
9009.68,2360.28,909.48,3.19
10010.87,2360.53,909.81,3.19
11011.87,2374.59,911.9,3.21
12012.55,2392.08,916.25,3.23
13014.54,2403.28,919.03,3.24
14015.25,2425.93,924.48,3.27
15015.92,2434.33,925.87,3.28
16017.11,2434.52,926.06,3.28
17018.35,2451.5,928.96,3.3
18019.13,2453.85,930.96,3.3
19019.81,2453.85,931.02,3.3
20020.45,2453.85,931.08,3.3
21021.11,2453.85,931.14,3.3
22021.75,2453.85,931.2,3.31
23022.77,2459.19,932.46,3.31
24024.05,2465.33,934.78,3.32
