time,total,idle,mem_total,mem_free,1741/cpu,1741/rss,980/cpu,980/rss
1004.99,169107,160806,3887864,3006740,15,2884,1347,94392
2006.99,169506,161202,3887864,3007068,15,2884,1348,94392
3013.69,169903,161578,3887864,3007564,15,2884,1364,94432
4015.87,170303,161973,3887864,3007332,16,2884,1365,94432
5017.86,170703,162369,3887864,3008492,16,2884,1366,94432
6018.84,171101,162742,3887864,3011972,16,2884,1368,94432
7019.82,171499,163140,3887864,3012264,16,2884,1370,94432
8020.66,171898,163537,3887864,3012600,16,2884,1371,94432
9021.48,172298,163933,3887864,3013220,16,2884,1372,94440
10022.31,172697,164331,3887864,3013828,16,2884,1373,94440
11024.41,173095,164720,3887864,3012844,16,2884,1377,94440
12025.8,173491,165055,3887864,3004156,16,2884,1385,94440
13027.93,173882,165312,3887864,2960292,16,2884,1392,94440
14028.86,174280,165524,3887864,2924756,16,2884,1399,94440
15029.69,174678,165919,3887864,2924756,16,2884,1401,94444
16030.8,175077,166310,3887864,2924756,17,2884,1402,94444
17032.79,175477,166692,3887864,2923168,17,2884,1407,94504
18034.83,175878,167085,3887864,2925376,17,2884,1409,94504
19036.99,176279,167473,3887864,2927036,17,2884,1415,94504
20039.07,176677,167849,3887864,2926368,17,2884,1418,94504
21040.82,177078,168240,3887864,2926820,17,2884,1419,94504
22042.79,177479,168635,3887864,2928412,17,2884,1421,94504
23044.61,177875,169019,3887864,2931448,17,2884,1428,94512
24046.6,178274,169411,3887864,2932156,17,2884,1432,94512
25047.96,178670,169757,3887864,3000740,17,2884,1437,94516
