time,sent,received,total
2.97,1146.88,7146.85,8.1
1004.27,1148.12,7151.48,8.1
2005.62,1148.31,7151.67,8.1
3006.34,1148.49,7151.73,8.11
4006.91,1149.07,7152.91,8.11
5007.48,1152.17,7162.41,8.12
6008.06,1152.17,7162.46,8.12
7008.64,1152.45,7162.52,8.12
8009.59,1153.0,7167.9,8.12
9010.71,1154.95,7169.37,8.13
10011.77,1154.95,7169.43,8.13
11012.78,1157.53,7185.66,8.15
12013.58,1164.69,7209.1,8.18
13014.3,1169.67,7231.62,8.2
14014.9,1181.89,7520.51,8.5
15015.47,1183.33,7521.75,8.5
16016.06,1183.98,7521.93,8.5
17016.89,1184.86,7522.75,8.5
18018.05,1185.69,7526.94,8.51
19019.21,1186.43,7528.24,8.51
20020.34,1186.43,7528.3,8.51
21021.44,1186.43,7528.36,8.51
22022.61,1187.26,7532.55,8.51
23023.37,1187.26,7532.61,8.51
24023.96,1188.03,7534.14,8.52
25024.55,1192.89,7551.93,8.54
