time,total,idle,mem_total,mem_free,1741/cpu,1741/rss,980/cpu,980/rss
1007.12,296624,282171,3887864,2997012,30,2884,2394,95124
2009.08,297021,282558,3887864,2997012,30,2884,2400,95200
3011.62,297420,282921,3887864,3002232,30,2884,2403,95200
4012.4,297820,283319,3887864,3002232,30,2884,2404,95200
5013.21,298227,283704,3887864,3002376,30,2884,2405,95200
6014.05,298624,284100,3887864,3003076,30,2884,2407,95204
7014.93,299022,284492,3887864,3002344,30,2884,2413,95204
8016.8,299421,284888,3887864,3002364,30,2884,2414,95204
9018.61,299817,285278,3887864,3002616,31,2884,2418,95204
10020.57,300217,285674,3887864,3002868,31,2884,2420,95204
11022.47,300611,286056,3887864,3002868,31,2884,2423,95204
12024.6,301002,286415,3887864,3002980,31,2884,2435,95252
13025.57,301392,286730,3887864,2985992,31,2884,2441,95260
14027.98,301786,287014,3887864,2952572,31,2884,2445,95260
15029.03,302184,287304,3887864,2943792,31,2884,2450,95264
16029.89,302583,287699,3887864,2943792,31,2884,2452,95264
17030.77,302980,288096,3887864,2944088,31,2884,2453,95264
18032.76,303380,288485,3887864,2945176,31,2884,2458,95264
19034.88,303779,288878,3887864,2946568,31,2884,2460,95264
20037.17,304179,289273,3887864,2947384,31,2884,2462,95264
21039.52,304577,289667,3887864,2948064,31,2884,2462,95264
22041.77,304975,290062,3887864,2948308,31,2884,2464,95264
23044.13,305374,290454,3887864,2948760,31,2884,2468,95264
24048.49,305770,290819,3887864,2954032,31,2884,2473,95264
25050.83,306169,291217,3887864,2954160,31,2884,2475,95264
26052.17,306563,291550,3887864,2993240,31,2884,2484,95264
