time,sent,received,total
1.27,4671.51,1551.14,6.08
1002.06,4671.72,1551.41,6.08
2002.7,4675.92,1552.18,6.08
3003.78,4677.44,1552.86,6.08
4004.92,4681.94,1553.63,6.09
5006.29,4691.56,1556.55,6.1
6007.31,4699.83,1557.65,6.11
7008.38,4699.89,1558.15,6.11
8009.64,4702.26,1559.32,6.11
9010.32,4702.26,1559.32,6.11
10011.01,4702.33,1559.71,6.12
11011.67,4714.39,1561.49,6.13
12012.69,4742.43,1567.9,6.16
13014.4,4747.96,1569.16,6.17
14016.25,4768.32,1575.25,6.19
15016.93,4773.74,1577.46,6.2
16017.64,4773.74,1577.52,6.2
17018.3,4773.74,1577.52,6.2
18019.29,4778.25,1580.64,6.21
19020.48,4778.25,1580.7,6.21
20021.7,4778.44,1580.89,6.21
21023.06,4778.63,1580.94,6.21
22024.15,4786.96,1582.08,6.22
23025.17,4792.55,1583.74,6.23
24026.43,4792.92,1583.93,6.23
