time,total,idle,mem_total,mem_free,1426/cpu,1426/rss,1477/cpu,1477/rss,1479/cpu,1479/rss,1492/cpu,1492/rss,2514/cpu,2514/rss,3193/cpu,3193/rss,4254/cpu,4254/rss
1011.06,347975,297220,3887864,1017512,5773,148468,2862,127084,13137,513460,2329,70764,126,44636,545,54692,657,91880
2017.18,348365,297568,3887864,1017328,5781,148516,2864,127084,13152,513460,2331,70764,127,44640,545,54692,657,91880
3019.06,348756,297901,3887864,1017836,5785,148516,2866,127084,13162,513464,2334,70764,127,44640,545,54692,658,91880
4020.82,349159,298272,3887864,1017628,5792,148612,2868,127084,13170,513464,2336,70764,127,44640,545,54696,658,91880
5022.7,349555,298648,3887864,1018180,5795,148620,2869,127084,13177,513464,2339,70764,127,44640,545,54696,658,91880
6024.62,349953,299018,3887864,1017944,5798,148624,2871,127084,13183,513464,2340,70764,127,44640,546,54696,659,91880
7026.85,350350,299391,3887864,1018328,5802,148636,2872,127088,13190,513464,2342,70764,127,44640,546,54696,659,91880
8030.37,350742,299754,3887864,1018144,5807,148636,2874,127088,13198,513464,2345,70764,127,44640,546,54696,659,91880
9034.73,351136,300112,3887864,1018772,5813,148652,2877,127092,13210,513464,2348,70772,127,44640,546,54696,660,91880
10039.1,351526,300466,3887864,1016688,5820,148656,2882,127092,13222,513464,2350,70772,127,44640,547,54696,660,91880
11047.75,351920,300653,3887864,1011232,5838,148680,2891,127096,13268,513472,2353,70776,127,44648,547,54696,666,91880
12051.66,352310,300952,3887864,1013704,5846,148680,2892,127096,13284,513472,2354,70776,128,44680,548,54696,668,91888
13053.45,352697,301214,3887864,1013412,5850,148680,2895,127096,13292,513472,2356,70776,128,44680,548,54696,669,91888
14055.33,353090,301545,3887864,1013348,5859,148680,2898,127096,13308,513472,2358,70776,128,44688,549,54696,671,91892
15057.17,353492,301920,3887864,1014380,5862,148680,2900,127096,13315,513472,2360,70776,128,44688,549,54696,672,91892
16061.18,353878,302267,3887864,1015468,5867,148680,2902,127096,13327,513472,2363,70776,128,44688,549,54696,672,91892
17063.21,354273,302613,3887864,1015264,5873,148680,2915,127096,13340,513472,2364,70776,128,44688,549,54696,672,91892
18065.07,354672,302980,3887864,1013548,5876,148680,2916,127096,13346,513472,2366,70776,128,44688,549,54704,673,91892
19067.21,355065,303352,3887864,1014336,5880,148680,2918,127096,13354,513472,2367,70776,128,44688,549,54704,673,91892
20069.28,355465,303731,3887864,1014608,5883,148680,2920,127096,13359,513484,2368,70776,128,44688,549,54704,673,91892
21071.18,355856,304101,3887864,1014992,5887,148680,2922,127096,13366,513484,2370,70776,128,44688,549,54704,673,91892
22075.2,356252,304458,3887864,1014928,5893,148680,2925,127096,13375,513488,2372,70776,129,44704,549,54720,673,91892
23077.17,356647,304790,3887864,1014840,5899,148684,2928,127096,13389,513488,2376,70776,129,44704,550,54720,674,91892
24079.06,357043,305165,3887864,1015736,5903,148684,2929,127096,13395,513488,2378,70776,129,44704,551,54720,675,91892
