time,total,idle,mem_total,mem_free,2163/cpu,2163/rss,2216/cpu,2216/rss,2234/cpu,2234/rss,2255/cpu,2255/rss,2285/cpu,2285/rss,2286/cpu,2286/rss
1004.91,484128,446733,3887864,1487820,3449,114176,3974,74240,10115,319352,50,80784,752,64848,2449,114868
2006.36,484527,447126,3887864,1487820,3449,114176,3976,74240,10117,319352,50,80784,752,64848,2450,114868
3007.86,484924,447513,3887864,1487820,3450,114176,3978,74240,10121,319352,50,80784,752,64848,2451,114868
4009.34,485325,447899,3887864,1488072,3450,114176,3979,74240,10124,319352,50,80784,752,64848,2452,114868
5012.84,485724,448281,3887864,1488072,3450,114176,3982,74240,10129,319352,50,80784,753,64848,2454,114868
6016.28,486119,448648,3887864,1488428,3453,114180,3986,74244,10138,319352,50,80784,753,64848,2456,114868
7017.92,486513,449001,3887864,1486532,3453,114180,3989,74244,10145,319352,50,80784,753,64848,2457,114868
8019.52,486909,449392,3887864,1486864,3453,114180,3989,74244,10148,319356,50,80784,753,64848,2459,114868
9021.18,487306,449774,3887864,1487412,3453,114180,3992,74248,10155,319356,50,80784,753,64848,2460,114868
10024.04,487704,450164,3887864,1484796,3453,114180,3994,74248,10157,319356,50,80784,754,64848,2461,114868
11025.76,488099,450423,3887864,1484636,3454,114180,4013,74308,10218,319368,50,80784,754,64848,2464,114868
12028.36,488492,450761,3887864,1484636,3455,114180,4018,74308,10233,319372,50,80784,754,64848,2466,114868
13035.56,488882,451093,3887864,1484636,3457,114180,4022,74308,10244,319372,50,80784,755,64848,2469,114868
14040.36,489273,451430,3887864,1484636,3457,114180,4025,74316,10252,319372,50,80784,755,64848,2470,114868
15045.99,489668,451767,3887864,1484636,3457,114180,4028,74324,10262,319376,50,80784,756,64848,2473,114868
16049.95,490060,452083,3887864,1485224,3459,114180,4036,74324,10282,319376,50,80784,756,64848,2476,114868
17051.66,490450,452352,3887864,1485564,3459,114180,4045,74324,10346,319384,50,80784,756,64848,2479,114868
18053.23,490850,452709,3887864,1485648,3459,114180,4047,74324,10353,319384,50,80784,756,64848,2480,114868
19054.86,491247,453088,3887864,1486576,3460,114180,4050,74324,10358,319384,50,80784,756,64848,2481,114868
20057.85,491638,453445,3887864,1488196,3460,114180,4055,74324,10367,319388,50,80784,757,64848,2483,114868
21059.48,492033,453798,3887864,1488004,3461,114180,4059,74324,10377,319392,50,80784,758,64848,2484,114868
22061.1,492427,454103,3887864,1488532,3461,114180,4068,74324,10414,319400,50,80784,758,64848,2487,114868
23062.79,492826,454488,3887864,1489220,3462,114180,4070,74324,10420,319400,50,80784,758,64848,2489,114872
24064.41,493222,454871,3887864,1489876,3462,114180,4071,74324,10425,319400,50,80784,758,64848,2490,114872
25066.08,493621,455263,3887864,1491008,3462,114180,4073,74324,10427,319400,50,80784,758,64848,2491,114872
26067.74,494022,455645,3887864,1491012,3463,114180,4075,74328,10432,319400,50,80784,759,64848,2492,114872
27069.38,494414,455973,3887864,1489332,3463,114180,4081,74332,10453,319408,50,80784,759,64848,2494,114872
28071.08,494813,456364,3887864,1489332,3463,114180,4082,74332,10456,319408,50,80784,759,64848,2496,114872
29072.74,495212,456748,3887864,1489332,3463,114180,4086,74332,10461,319412,50,80784,759,64848,2497,114872
30074.39,495610,457138,3887864,1489276,3464,114180,4087,74332,10463,319412,50,80784,759,64848,2497,114872
31076.08,496009,457522,3887864,1489084,3465,114180,4090,74332,10469,319412,50,80784,760,64848,2498,114872
32080.65,496406,457898,3887864,1489172,3465,114180,4094,74332,10480,319412,50,80784,760,64848,2500,114872
